,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_trrosettarna_rp03_1.pdb,2.378,0.0,0.835,0.98,0.802,0.786,2.849,24.91,0.819,0.464,0.821,0.988,1.0,0.859,-32672.3,449061.0,-0.073,0.0,0.217,0.904,1.705,-59696.014,-7327.853,0.735,0.797,0.0
normalized_trrosettarna_rp03_2.pdb,2.559,0.0,0.656,0.801,0.286,0.649,3.902,31.52,0.806,0.417,0.809,1.0,1.0,0.834,-29840.6,448099.0,-0.067,0.0,0.225,1.286,1.387,-56884.995,-6702.519,0.69,0.788,0.0
normalized_trrosettarna_rp03_3.pdb,2.867,0.0,0.526,0.728,0.267,0.49,5.448,37.9,0.792,0.405,0.786,0.976,1.0,0.824,-26897.7,447249.0,-0.06,0.0,0.238,1.459,1.199,-54730.283,-6383.204,0.658,0.78,0.0
normalized_rhofold_rp03.pdb,4.096,0.0,0.703,0.98,0.169,0.644,5.827,50.86,0.592,0.167,0.417,0.798,0.988,0.761,-28479.5,428758.0,-0.066,0.0,0.407,1.201,1.276,-54791.666,-7209.779,0.565,0.597,0.0
normalized_vfoldpipeline_rp03.pdb,6.517,0.0,0.854,0.941,0.772,0.831,7.628,18.3,0.545,0.369,0.452,0.536,0.821,0.815,-38414.6,410582.0,-0.094,0.0,0.648,0.995,2.201,-61992.161,-7769.96,0.693,0.494,0.0
normalized_trrosettarna_rp03_5.pdb,9.308,0.0,0.526,0.533,0.143,0.576,17.704,44.6,0.434,0.167,0.357,0.524,0.691,0.789,-16541.9,447197.0,-0.037,0.0,1.014,1.63,0.891,-50146.832,-5271.679,0.561,0.394,0.0
normalized_3drna_rp03_4.pdb,9.557,0.0,0.71,0.895,0.218,0.68,13.469,33.28,0.423,0.155,0.274,0.512,0.75,0.702,-32573.2,410067.0,-0.079,0.0,0.994,1.368,1.654,-57018.353,-7408.619,0.499,0.407,0.0
normalized_3drna_rp03_2.pdb,9.587,0.0,0.701,0.873,0.378,0.664,13.683,35.35,0.375,0.119,0.226,0.452,0.702,0.709,-34412.7,362799.0,-0.095,0.0,1.034,1.307,1.525,-53763.171,-6760.004,0.49,0.35,0.0
normalized_3drna_rp03_5.pdb,11.4,0.0,0.735,0.895,0.267,0.712,15.505,32.15,0.363,0.131,0.238,0.429,0.655,0.706,-35346.4,363578.0,-0.097,0.0,1.22,1.329,1.677,-55278.154,-7275.897,0.482,0.303,0.0
normalized_trrosettarna_rp03_4.pdb,11.465,0.0,0.332,0.346,0.0,0.418,34.518,60.45,0.235,0.083,0.167,0.25,0.441,0.776,-13473.8,445012.0,-0.03,0.0,1.284,1.819,0.527,-46595.844,-5335.57,0.541,0.196,0.0
