,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_trrosettarna_rp12_1.pdb,2.601,0.0,0.562,0.737,0.12,0.544,4.632,,0.094,0.051,0.068,0.103,0.154,0.07,-40465.6,646241.0,-0.063,0.0,0.234,1.363,2.066,-79796.11,-9608.085,0.708,0.876,0.0
normalized_trrosettarna_rp12_2.pdb,2.613,0.0,0.631,0.717,0.267,0.638,4.139,,0.1,0.051,0.086,0.103,0.162,0.066,-37606.7,648073.0,-0.058,0.0,0.249,1.376,1.98,-77351.743,-9033.271,0.687,0.863,0.0
normalized_rhofold_rp12.pdb,4.58,0.0,0.667,0.758,0.0,0.667,6.862,,0.09,0.034,0.068,0.103,0.154,0.068,-36013.7,695044.0,-0.052,0.0,0.476,1.261,1.807,-82884.106,-9455.709,0.574,0.605,0.0
normalized_trrosettarna_rp12_3.pdb,19.362,2.2237767183241886e-13,0.386,0.226,0.0,0.526,50.172,,0.086,0.043,0.06,0.094,0.145,0.067,-20992.1,641398.0,-0.033,0.0,2.017,1.799,0.762,-67115.563,-7328.709,0.549,0.227,0.0
normalized_trrosettarna_rp12_5.pdb,19.381,2.4080737404119645e-13,0.386,0.113,0.0,0.535,50.19,,0.081,0.043,0.06,0.086,0.137,0.068,-18231.3,643389.0,-0.028,0.0,2.027,1.851,0.665,-66401.794,-7183.403,0.538,0.212,0.0
normalized_trrosettarna_rp12_4.pdb,19.424,2.865485626557529e-13,0.402,,0.0,0.58,48.281,,0.086,0.043,0.06,0.094,0.145,0.066,-20161.6,643014.0,-0.031,0.0,2.01,1.772,0.751,-66689.061,-7395.698,0.549,0.227,0.0
normalized_3drna_rp12_3.pdb,24.642,8.246309414150499e-06,0.483,0.37,0.0,0.558,51.059,,0.09,0.06,0.086,0.094,0.12,0.062,-42533.0,584396.0,-0.073,0.0,2.489,1.95,2.35,-77619.383,-8071.257,0.336,0.219,0.0
normalized_vfold_rp12.pdb,24.924,1.656496758334347e-05,0.407,0.546,0.0,0.411,61.263,,0.098,0.06,0.094,0.111,0.128,0.052,-30978.2,739978.0,-0.042,0.0,2.558,2.166,1.732,-77073.231,-9453.953,0.001,0.256,0.0
normalized_rnacomposer_rp12.pdb,25.771,0.00011653450243220842,0.495,0.396,0.0,0.571,52.076,,0.088,0.051,0.077,0.086,0.137,0.063,-44331.3,614589.0,-0.072,0.0,2.609,1.965,2.335,-80959.395,-9314.392,0.35,0.225,0.0
normalized_rnajp_rp12.pdb,26.359,0.0003989265503123729,0.566,0.507,0.0,0.614,46.557,,0.092,0.051,0.077,0.103,0.137,0.063,-57005.7,616293.0,-0.092,0.0,2.668,1.877,3.417,-86206.636,-10951.644,0.058,0.209,0.0
normalized_3drna_rp12_4.pdb,28.538,0.01604128558580048,0.495,0.431,,0.541,57.619,,0.094,0.068,0.086,0.103,0.12,0.059,-42658.3,478888.0,-0.089,0.0,2.875,1.874,2.41,-71206.1,-6846.834,0.329,0.196,0.0
normalized_3drna_rp12_5.pdb,29.174,0.03672404450693245,0.508,0.416,0.0,0.571,57.376,,0.092,0.051,0.086,0.103,0.128,0.062,-40741.5,516041.0,-0.079,0.0,2.935,1.905,2.261,-72390.287,-6812.633,0.325,0.196,0.0
normalized_eprna_rp12.pdb,29.274,0.04143893416770206,0.0,0.0,0.0,0.0,inf,,0.06,0.026,0.034,0.068,0.111,0.038,61613.0,963693.0,0.064,0.0,2.915,2.547,0.202,-24264.336,1412.88,0.0,0.156,0.0
normalized_3drna_rp12_1.pdb,29.436,0.05005341442466282,0.505,0.425,0.0,0.567,58.292,,0.094,0.06,0.086,0.094,0.137,0.065,-40509.3,536757.0,-0.075,0.0,2.984,1.941,2.422,-74353.526,-7010.737,0.34,0.254,0.0
normalized_3drna_rp12_2.pdb,29.474,0.05228740037595592,0.513,0.401,0.0,0.588,57.464,,0.092,0.06,0.086,0.103,0.12,0.058,-42795.8,482379.0,-0.089,0.0,3.024,1.888,2.489,-71437.36,-7312.208,0.339,0.236,0.0
normalized_3drna_rp12.pdb,29.499,0.05378508264238868,0.54,0.507,0.0,0.582,54.616,,0.086,0.051,0.068,0.103,0.12,0.062,-46594.2,587369.0,-0.079,0.0,3.011,1.828,2.691,-82454.99,-9318.479,0.377,0.196,0.0
normalized_isrna_rp12.pdb,45.919,0.9999999999999711,0.526,0.403,0.0,0.609,87.356,,0.1,0.06,0.077,0.12,0.145,0.063,-56328.9,512020.0,-0.11,0.0,4.622,1.925,2.815,-79314.952,-7776.477,0.326,0.224,0.0
normalized_ifoldrna_rp12_4.pdb,46.537,0.999999999999998,0.259,0.0,0.0,0.404,179.589,,0.088,0.043,0.068,0.111,0.128,0.065,-23852.6,450003.0,-0.053,0.0,4.773,2.347,0.825,-50316.309,-927.115,0.001,0.132,0.0
normalized_ifoldrna_rp12_3.pdb,48.272,1.0,0.25,0.0,0.0,0.41,193.188,,0.086,0.043,0.068,0.094,0.137,0.064,-26938.2,428751.0,-0.063,0.0,4.935,2.349,0.938,-51296.035,-1190.992,0.003,0.141,0.0
normalized_vfoldpipeline_rp12.pdb,48.283,1.0,0.469,0.424,0.0,0.517,102.937,,0.077,0.051,0.068,0.077,0.111,0.056,-30263.3,423182.0,-0.072,0.0,4.928,1.91,1.902,-60035.199,-4759.633,0.258,0.166,0.0
normalized_ifoldrna_rp12_2.pdb,48.309,1.0,0.256,0.0,0.0,0.391,188.96,,0.077,0.043,0.06,0.086,0.12,0.062,-20226.0,445877.0,-0.045,0.0,4.937,2.298,0.791,-48247.525,-899.173,0.004,0.139,0.0
normalized_ifoldrna_rp12_5.pdb,49.608,1.0,0.217,0.0,0.0,0.36,228.679,,0.09,0.043,0.06,0.111,0.145,0.063,-17933.1,459317.0,-0.039,0.0,5.017,2.375,0.702,-49071.347,-1100.715,0.004,0.155,0.0
normalized_ifoldrna_rp12_1.pdb,49.783,1.0,0.224,0.0,0.0,0.366,222.45,,0.096,0.043,0.077,0.103,0.162,0.066,-19398.9,421600.0,-0.046,0.0,5.043,2.246,0.733,-44432.431,-1226.888,0.005,0.118,0.0
normalized_simrna_rp12.pdb,102.499,1.0,0.0,,0.0,0.0,inf,,0.064,0.043,0.043,0.068,0.103,0.067,-7399.53,150617.0,-0.049,0.0,10.075,1.86,0.122,-17812.184,-83.004,0.0,0.069,0.0
