,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_trrosettarna_rp16_1.pdb,1.677,4.567140610145515e-09,0.641,1.0,0.289,0.611,2.615,26.08,0.0,0.0,0.0,0.0,0.0,,-9938.47,97678.0,-0.102,0.0,0.142,1.315,0.411,-15717.788,-3172.845,0.713,0.384,0.0
normalized_trrosettarna_rp16_3.pdb,1.783,6.475834424257698e-09,0.39,0.707,0.309,0.358,4.571,32.08,0.0,0.0,0.0,0.0,0.0,,-8016.7,98020.0,-0.082,0.0,0.144,1.563,0.292,-14217.745,-3102.445,0.688,0.423,0.0
normalized_rhofold_rp16.pdb,1.906,9.623312535733675e-09,0.874,0.926,0.73,0.895,2.181,35.4,0.0,0.0,0.0,0.0,0.0,,-9418.21,100404.0,-0.094,0.0,0.207,0.557,0.392,-16018.887,-3966.994,0.771,0.283,0.0
normalized_rnajp_rp16.pdb,2.024,1.4050143160027062e-08,0.919,0.926,0.73,0.96,2.203,17.39,0.0,0.0,0.0,0.0,0.0,,-11317.7,102775.0,-0.11,0.0,0.205,0.691,0.489,-16584.005,-4586.232,0.015,0.332,0.0
normalized_trrosettarna_rp16_2.pdb,2.118,1.8883270780367667e-08,0.633,0.73,0.471,0.642,3.347,23.13,0.0,0.0,0.0,0.0,0.0,,-8580.36,97912.0,-0.088,0.0,0.146,1.2,0.34,-15000.832,-3385.078,0.719,0.435,0.0
normalized_mcsym_rp16_5.pdb,3.339,7.096718331323082e-07,0.671,0.833,0.577,0.65,4.976,31.1,0.0,0.0,0.0,0.0,0.0,,-8682.02,94363.0,-0.092,0.0,0.35,1.183,0.403,-13701.589,-3536.694,0.006,0.213,0.0
normalized_isrna_rp16.pdb,4.281,8.58157919242375e-06,0.641,0.816,,0.671,6.678,23.58,0.0,0.0,0.0,0.0,0.0,,-14138.6,94341.0,-0.15,0.0,0.432,1.424,0.452,-16843.289,-3705.046,0.557,0.2,0.0
normalized_mcsym_rp16_1.pdb,4.522,1.5543345784352347e-05,0.633,0.866,0.289,0.631,7.146,32.12,0.0,0.0,0.0,0.0,0.0,,-8800.62,87368.0,-0.101,0.0,0.459,1.341,0.435,-12896.859,-3368.296,0.0,0.24,0.0
normalized_mcsym_rp16_4.pdb,4.609,1.919248759668646e-05,0.638,0.833,0.471,0.62,7.229,38.12,0.0,0.0,0.0,0.0,0.0,,-7018.48,87993.0,-0.08,0.0,0.503,1.296,0.371,-12360.276,-2691.199,0.024,0.134,0.0
normalized_vfold_rp16.pdb,4.734,2.5878561955405832e-05,0.504,0.833,0.0,0.482,9.397,,0.0,0.0,0.0,0.0,0.0,,-11172.9,98094.0,-0.114,0.0,0.488,1.631,0.258,-13877.464,-3148.841,0.002,0.255,0.0
normalized_mcsym_rp16_3.pdb,4.768,2.8082155234421258e-05,0.652,0.926,0.408,0.626,7.309,33.57,0.0,0.0,0.0,0.0,0.0,,-8668.6,97137.0,-0.089,0.0,0.491,1.347,0.424,-13843.276,-3612.558,0.003,0.233,0.0
