,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_trrosettarna_rp09_3.pdb,2.48,0.0,0.598,0.682,0.302,0.617,4.145,36.26,0.757,0.296,0.761,0.972,1.0,0.81,-20127.5,380385.0,-0.053,0.0,0.229,1.487,0.985,-46221.599,-6355.062,0.626,0.717,0.0
normalized_trrosettarna_rp09_2.pdb,2.604,0.0,0.473,0.742,0.0,0.473,5.509,34.4,0.764,0.296,0.761,1.0,1.0,0.796,-21458.5,380566.0,-0.056,0.0,0.218,1.579,1.076,-47038.279,-6145.539,0.628,0.713,0.0
normalized_trrosettarna_rp09_1.pdb,2.759,0.0,0.629,0.837,0.123,0.643,4.389,29.77,0.778,0.38,0.747,0.986,1.0,0.787,-23582.5,380134.0,-0.062,0.0,0.228,1.519,1.169,-48455.873,-6776.559,0.639,0.721,0.0
normalized_rhofold_rp09.pdb,5.633,0.0,0.703,0.822,0.456,0.699,8.015,54.89,0.539,0.211,0.38,0.648,0.915,0.722,-25065.6,384888.0,-0.065,0.0,0.569,1.407,1.105,-48749.437,-7017.01,0.558,0.456,0.0
normalized_trrosettarna_rp09_4.pdb,11.515,1.6923684675873574e-12,0.34,0.158,0.0,0.481,33.825,60.75,0.239,0.085,0.169,0.282,0.422,0.753,-9621.28,381128.0,-0.025,0.0,1.297,1.947,0.365,-39609.447,-5061.465,0.505,0.192,0.0
normalized_trrosettarna_rp09_5.pdb,11.589,2.2625235018836065e-12,0.368,0.0,0.0,0.528,31.462,56.71,0.25,0.127,0.183,0.268,0.422,0.74,-8187.78,378753.0,-0.022,0.0,1.31,1.968,0.32,-38540.54,-4833.017,0.497,0.181,0.0
normalized_3drna_rp09_4.pdb,15.514,1.0734844206328198e-06,0.602,0.821,0.0,0.586,25.76,42.84,0.232,0.141,0.183,0.254,0.352,0.584,-26796.7,294830.0,-0.091,0.0,1.609,1.678,1.314,-42430.48,-4983.351,0.374,0.198,0.0
normalized_eprna_rp09.pdb,15.597,1.3458588865034038e-06,0.0,0.0,0.0,,inf,,0.19,0.056,0.113,0.183,0.408,0.467,26215.5,261509.0,0.1,0.0,1.534,2.319,0.075,-8811.016,-1065.229,0.0,0.166,0.0
normalized_3drna_rp09_1.pdb,17.098,5.681922849254395e-05,0.612,0.791,,0.604,27.951,36.59,0.222,0.155,0.183,0.254,0.296,0.59,-26355.3,294630.0,-0.089,0.0,1.769,1.739,1.287,-42503.003,-4963.228,0.38,0.189,0.0
normalized_3drna_rp09.pdb,18.697,0.0014835362216704118,0.631,0.76,,0.642,29.619,30.78,0.264,0.155,0.197,0.282,0.422,0.632,-33738.1,360374.0,-0.094,0.0,1.945,1.714,1.584,-51804.029,-7364.686,0.432,0.209,0.0
