,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_3drna_rp13_2.pdb,16.185,0.001326949583750625,0.735,0.688,0.577,0.765,22.017,,0.417,0.217,0.333,0.5,0.617,0.539,-25408.8,253241.0,-0.1,0.0,1.624,1.602,1.163,-40065.716,-5812.331,0.423,0.309,0.0
normalized_3drna_rp13.pdb,17.95,0.021439489840572368,0.555,0.378,0.0,0.672,32.331,,0.221,0.117,0.183,0.25,0.333,0.485,-20094.1,253933.0,-0.079,0.0,1.869,1.895,0.817,-34943.027,-4370.166,0.306,0.182,0.0
normalized_trrosettarna_rp13_2.pdb,18.126,0.027016036854701553,0.738,0.818,,0.727,24.572,,0.633,0.4,0.65,0.733,0.75,0.584,-23862.2,256813.0,-0.093,0.0,1.859,1.394,1.101,-38578.202,-5087.164,0.525,0.548,0.0
normalized_trrosettarna_rp13_3.pdb,18.143,0.0275820214097644,0.655,0.732,0.0,0.669,27.69,,0.617,0.333,0.65,0.733,0.75,0.565,-23288.0,258349.0,-0.09,0.0,1.849,1.512,0.965,-37698.372,-4844.998,0.51,0.541,0.0
normalized_trrosettarna_rp13_4.pdb,18.187,0.02919957953561092,0.655,0.69,0.516,0.668,27.758,,0.625,0.383,0.633,0.733,0.75,0.583,-22833.5,257625.0,-0.089,0.0,1.846,1.485,0.954,-37687.501,-5018.703,0.517,0.533,0.0
normalized_vfold_rp13.pdb,18.194,0.029448117481223335,0.442,0.333,0.0,0.548,41.173,,0.283,0.167,0.25,0.317,0.4,0.458,-23459.3,329782.0,-0.071,0.0,1.883,2.123,1.197,-40579.919,-6090.721,0.002,0.225,0.0
normalized_trrosettarna_rp13_1.pdb,18.219,0.030394250085231833,0.809,0.794,0.667,0.825,22.515,,0.629,0.383,0.65,0.733,0.75,0.584,-26577.8,258853.0,-0.103,0.0,1.852,1.263,1.336,-39904.48,-5356.903,0.531,0.546,0.0
normalized_trrosettarna_rp13_5.pdb,18.259,0.031945673324023205,0.688,0.726,0.408,0.69,26.526,,0.604,0.317,0.633,0.717,0.75,0.563,-22987.5,256301.0,-0.09,0.0,1.85,1.49,0.945,-37314.895,-4615.53,0.493,0.521,0.0
normalized_rhofold_rp13.pdb,19.383,0.1096658309701547,0.65,0.586,0.0,0.718,29.833,,0.283,0.15,0.217,0.283,0.483,0.513,-21951.3,245735.0,-0.089,0.0,1.984,1.679,1.178,-36320.757,-4718.544,0.377,0.212,0.0
normalized_vfoldpipeline_rp13.pdb,19.725,0.14954809104737565,0.632,0.741,0.0,0.61,31.227,,0.258,0.183,0.233,0.283,0.333,0.478,-16858.3,214569.0,-0.079,0.0,2.041,1.716,0.996,-31826.239,-3372.409,0.332,0.213,0.0
normalized_eprna_rp13.pdb,19.815,0.16149535384679914,0.048,,0.0,0.143,414.704,,0.125,0.067,0.1,0.133,0.2,0.388,23708.2,226317.0,0.105,0.0,1.953,2.301,0.044,-3154.674,1222.629,0.0,0.126,0.0
normalized_3drna_rp13_4.pdb,19.877,0.17003114451842505,0.794,0.741,0.577,0.828,25.027,,0.408,0.217,0.333,0.467,0.617,0.553,-26721.8,251151.0,-0.106,0.0,1.996,1.584,1.314,-41432.227,-5782.123,0.434,0.309,0.0
normalized_3drna_rp13_3.pdb,19.908,0.17447672823104443,0.755,0.669,0.816,0.791,26.351,,0.408,0.217,0.35,0.467,0.6,0.541,-24700.9,241567.0,-0.102,0.0,1.977,1.596,1.31,-39179.102,-5498.305,0.405,0.312,0.0
normalized_3drna_rp13_1.pdb,20.677,0.3050866190802214,0.747,0.651,0.0,0.824,27.693,,0.417,0.217,0.333,0.5,0.617,0.544,-25543.2,240776.0,-0.106,0.0,2.085,1.586,1.279,-39949.434,-5522.168,0.411,0.323,0.0
normalized_mcsym_rp13_3.pdb,23.078,0.795036788033737,0.515,0.2,0.0,0.681,44.832,,0.242,0.133,0.2,0.267,0.367,0.451,-25207.3,251215.0,-0.1,0.0,2.4,2.114,1.451,-37347.454,-4918.022,0.001,0.274,0.0
normalized_ifoldrna_rp13_5.pdb,23.436,0.846859876141092,0.261,0.0,0.0,0.405,89.813,,0.138,0.083,0.117,0.15,0.2,0.424,-17176.3,227521.0,-0.075,0.0,2.43,2.331,0.646,-29647.543,-2227.969,0.001,0.261,0.0
normalized_ifoldrna_rp13_1.pdb,23.482,0.8528636483553698,0.261,0.0,0.0,0.438,89.99,,0.163,0.083,0.133,0.183,0.25,0.415,-13059.9,247825.0,-0.053,0.0,2.413,2.321,0.539,-29025.421,-2445.601,0.0,0.131,0.0
normalized_mcsym_rp13_5.pdb,23.684,0.8771176992654489,0.515,0.206,0.0,0.681,46.009,,0.275,0.117,0.2,0.333,0.45,0.459,-26202.0,263481.0,-0.099,0.0,2.465,2.172,1.561,-39538.548,-4976.828,0.001,0.274,0.0
normalized_ifoldrna_rp13_4.pdb,24.071,0.9155720140223989,0.299,0.0,0.0,0.459,80.461,,0.133,0.067,0.1,0.133,0.233,0.417,-15105.7,266130.0,-0.057,0.0,2.508,2.327,0.488,-31445.74,-2904.587,0.004,0.194,0.0
normalized_mcsym_rp13_2.pdb,24.092,0.9173737356214342,0.547,0.257,0.0,0.711,44.007,,0.283,0.133,0.233,0.35,0.417,0.469,-26915.3,274311.0,-0.098,0.0,2.498,2.131,1.402,-40062.376,-6002.345,0.003,0.2,0.0
normalized_ifoldrna_rp13_2.pdb,24.115,0.9193050768247508,0.301,0.0,0.0,0.457,80.094,,0.158,0.083,0.133,0.183,0.233,0.413,-16798.2,232448.0,-0.072,0.0,2.493,2.307,0.498,-29507.063,-2793.203,0.003,0.22,0.0
normalized_rnacomposer_rp13.pdb,24.452,0.943809828559302,0.723,0.72,0.516,0.745,33.841,,0.392,0.217,0.35,0.417,0.583,0.561,-24631.0,242401.0,-0.102,0.0,2.501,1.544,1.117,-39882.377,-5347.308,0.457,0.323,0.0
normalized_mcsym_rp13_1.pdb,24.621,0.9536849029787514,0.476,0.244,0.0,0.611,51.766,,0.271,0.133,0.2,0.3,0.45,0.452,-23500.4,254475.0,-0.092,0.0,2.561,2.15,1.544,-39133.185,-5262.52,0.002,0.213,0.0
normalized_isrna_rp13.pdb,24.769,0.9610889081745306,0.673,0.741,0.0,0.674,36.804,,0.283,0.167,0.233,0.317,0.417,0.493,-29840.5,217461.0,-0.137,0.0,2.548,1.604,1.522,-39987.972,-5643.409,0.349,0.236,0.0
normalized_ifoldrna_rp13_3.pdb,25.592,0.986825563324917,0.317,0.0,0.0,0.477,80.85,,0.175,0.083,0.15,0.2,0.267,0.419,-17615.8,219609.0,-0.08,0.0,2.648,2.245,0.546,-28390.796,-2646.915,0.005,0.243,0.0
normalized_mcsym_rp13_4.pdb,26.457,0.9965483752999185,0.457,0.206,0.0,0.602,57.878,,0.237,0.117,0.2,0.25,0.383,0.447,-21523.9,229848.0,-0.094,0.0,2.742,2.154,1.383,-34653.093,-4959.258,0.001,0.215,0.0
normalized_3drna_rp13_5.pdb,26.524,0.9969140234982545,0.758,0.669,0.408,0.816,34.988,,0.417,0.217,0.35,0.483,0.617,0.541,-25539.6,241124.0,-0.106,0.0,2.669,1.58,1.169,-40116.916,-5230.758,0.417,0.309,0.0
normalized_simrna_rp13.pdb,53.6,1.0,0.117,,,0.143,457.961,,0.117,0.067,0.083,0.133,0.183,0.427,-4773.68,75603.0,-0.063,0.0,5.164,1.857,0.038,-9210.391,-86.272,0.0,0.104,0.0
normalized_rnajp_rp13.pdb,,,0.462,0.0,0.0,0.655,,,0.196,0.133,0.15,0.217,0.283,0.036,-19938.2,259144.0,-0.077,0.0,,,1.108,-31153.962,-2889.255,0.011,0.228,0.0
