,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_trrosettarna_rp07_2.pdb,6.087,0.0,0.719,0.862,0.224,0.691,8.468,28.31,0.408,0.114,0.189,0.47,0.86,0.797,-78600.2,969713.0,-0.081,0.0,0.62,1.208,3.755,-127762.722,-12153.099,0.615,0.632,0.0
normalized_trrosettarna_rp07_1.pdb,6.281,0.0,0.718,0.855,0.112,0.697,8.749,28.69,0.404,0.114,0.173,0.46,0.87,0.784,-80185.2,974083.0,-0.082,0.0,0.609,1.265,3.768,-129536.386,-12446.788,0.608,0.631,0.0
normalized_rhofold_rp07.pdb,6.855,0.0,0.641,0.691,0.0,0.679,10.7,50.85,0.337,0.038,0.13,0.384,0.795,0.725,-56201.6,1078714.0,-0.052,0.0,0.678,1.461,2.406,-124504.083,-11634.14,0.535,0.584,0.0
normalized_trrosettarna_rp07_3.pdb,10.291,0.0,0.569,0.663,0.077,0.596,18.1,36.09,0.358,0.103,0.173,0.438,0.719,0.762,-61753.3,975087.0,-0.063,0.0,1.089,1.582,2.675,-118980.624,-11476.437,0.553,0.529,0.0
normalized_trrosettarna_rp07_4.pdb,15.094,0.0,0.543,0.629,0.0,0.577,27.819,36.12,0.319,0.114,0.178,0.346,0.638,0.753,-57960.0,970144.0,-0.06,0.0,1.511,1.56,2.434,-116769.046,-11013.958,0.546,0.46,0.0
normalized_trrosettarna_rp07_5.pdb,17.166,0.0,0.489,0.55,0.0,0.546,35.115,44.28,0.247,0.065,0.13,0.303,0.492,0.737,-48474.2,972687.0,-0.05,0.0,1.794,1.718,1.901,-110626.257,-10015.732,0.509,0.353,0.0
normalized_3drna_rp07.pdb,20.997,0.0,0.748,0.853,0.141,0.733,28.067,24.2,0.22,0.178,0.2,0.238,0.265,0.764,-74751.9,988254.0,-0.076,0.0,2.16,1.35,4.571,-139652.66,-15407.614,0.558,0.266,0.0
normalized_3drna_rp07_2.pdb,23.518,0.0,0.682,0.839,0.191,0.651,34.485,25.96,0.235,0.135,0.189,0.243,0.373,0.732,-66416.4,1263432.0,-0.053,0.0,2.418,1.517,4.005,-151881.613,-16805.075,0.521,0.314,0.0
normalized_3drna_rp07_5.pdb,24.624,0.0,0.693,0.853,0.211,0.66,35.519,26.16,0.219,0.146,0.189,0.232,0.308,0.724,-61547.7,1205132.0,-0.051,0.0,2.523,1.518,3.908,-145199.009,-14384.841,0.501,0.306,0.0
normalized_3drna_rp07_4.pdb,24.783,0.0,0.693,0.831,0.211,0.666,35.778,,0.266,0.141,0.238,0.319,0.368,0.725,-67958.2,1172618.0,-0.058,0.0,2.556,1.523,4.113,-146679.512,-14956.128,0.537,0.38,0.0
normalized_3drna_rp07_3.pdb,25.583,0.0,0.667,0.83,0.0,0.645,38.357,26.61,0.284,0.146,0.243,0.335,0.411,0.701,-60125.8,1253022.0,-0.048,0.0,2.641,1.576,3.902,-148248.538,-15987.018,0.47,0.367,0.0
normalized_3drna_rp07_1.pdb,25.773,0.0,0.714,0.846,0.316,0.684,36.09,,0.269,0.157,0.265,0.308,0.346,0.73,-65211.0,1155007.0,-0.056,0.0,2.648,1.546,3.854,-143453.222,-16013.134,0.525,0.329,0.0
normalized_rnacomposer_rp07.pdb,27.09,2.220446049250313e-16,0.73,0.899,0.2,0.691,37.113,23.36,0.172,0.076,0.124,0.173,0.314,0.732,-85185.0,1016214.0,-0.084,0.0,2.805,1.402,4.101,-143245.531,-14741.725,0.545,0.256,0.0
normalized_vfoldpipeline_rp07.pdb,32.628,2.2289978546252698e-07,0.794,0.875,0.23,0.811,41.097,,0.303,0.13,0.254,0.378,0.449,0.79,-72983.9,1136260.0,-0.064,0.0,3.307,1.241,4.333,-140888.437,-14892.767,0.234,0.426,0.0
normalized_rnajp_rp07.pdb,37.167,0.005756587262151502,0.79,0.889,0.365,0.768,47.017,,0.157,0.07,0.119,0.184,0.254,0.747,-102354.0,939405.0,-0.109,0.0,3.771,1.279,5.859,-138200.201,-16436.13,0.054,0.215,0.0
normalized_eprna_rp07.pdb,44.501,0.9391698477497272,0.0,0.0,0.0,0.0,inf,,0.046,0.022,0.027,0.049,0.086,0.456,98783.2,1804475.0,0.055,0.0,4.443,2.637,0.406,-56839.547,1067.723,0.0,0.129,0.0
normalized_ifoldrna_rp07_4.pdb,75.442,1.0,0.178,0.0,0.0,0.303,422.937,,0.061,0.032,0.049,0.065,0.097,0.56,-20080.0,581354.0,-0.035,0.0,7.562,2.202,0.652,-54988.259,1865.485,0.002,0.106,0.0
normalized_ifoldrna_rp07_1.pdb,75.498,1.0,0.184,0.0,0.0,0.298,409.727,,0.064,0.027,0.043,0.065,0.119,0.566,-17293.2,576519.0,-0.03,0.0,7.547,2.183,0.557,-55064.098,1273.478,0.002,0.13,0.0
normalized_ifoldrna_rp07_5.pdb,76.63,1.0,0.179,0.0,0.0,0.268,429.197,,0.058,0.027,0.049,0.065,0.092,0.56,-14310.8,514991.0,-0.028,0.0,7.706,2.116,0.455,-47284.551,1928.27,0.007,0.111,0.0
normalized_ifoldrna_rp07_2.pdb,84.415,1.0,0.242,,0.0,0.339,349.189,,0.059,0.027,0.054,0.07,0.086,0.573,-18724.9,516007.0,-0.036,0.0,8.488,2.103,0.504,-48044.113,3215.575,0.002,0.114,0.0
normalized_ifoldrna_rp07_3.pdb,86.59,1.0,0.204,0.0,0.0,0.304,424.351,,0.061,0.027,0.038,0.065,0.114,0.587,-19425.3,470918.0,-0.041,0.0,8.717,2.124,0.496,-46168.521,2707.332,0.005,0.104,0.0
normalized_simrna_rp07.pdb,153.021,1.0,0.033,0.0,0.0,0.08,4651.422,,0.042,0.027,0.027,0.054,0.059,0.589,-15545.1,238420.0,-0.065,0.0,15.097,1.851,0.123,-29568.999,-226.289,0.0,0.06,0.0
