,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_trrosettarna_rp18_1.pdb,2.414,0.0,0.547,0.695,0.144,0.553,4.41,28.63,0.852,0.507,0.901,1.0,1.0,0.818,-24426.2,358175.0,-0.068,0.0,0.187,1.412,1.453,-48473.994,-7211.689,0.66,0.811,0.0
normalized_trrosettarna_rp18_2.pdb,2.525,0.0,0.689,0.873,0.0,0.666,3.664,34.39,0.845,0.451,0.93,1.0,1.0,0.826,-25025.1,355838.0,-0.07,0.0,0.203,1.155,1.757,-48397.084,-6733.038,0.657,0.797,0.0
normalized_trrosettarna_rp18_4.pdb,2.608,0.0,0.555,0.7,0.204,0.531,4.701,35.71,0.835,0.451,0.887,1.0,1.0,0.818,-19985.4,355694.0,-0.056,0.0,0.207,1.454,1.188,-45425.363,-5929.046,0.627,0.782,0.0
normalized_trrosettarna_rp18_3.pdb,2.962,0.0,0.429,0.721,0.136,0.374,6.904,36.54,0.838,0.451,0.901,1.0,1.0,0.81,-21089.8,356066.0,-0.059,0.0,0.207,1.662,1.129,-45928.515,-6643.394,0.63,0.796,0.0
normalized_vfold_rp18.pdb,10.24,8.659739592076221e-15,0.552,0.588,0.0,0.598,18.547,,0.296,0.155,0.211,0.282,0.535,0.623,-24018.1,433908.0,-0.055,0.0,1.008,1.963,1.617,-49429.886,-7463.351,0.0,0.283,0.0
normalized_trrosettarna_rp18_5.pdb,13.075,5.489993459839582e-10,0.336,0.2,0.0,0.472,38.867,61.68,0.236,0.085,0.155,0.268,0.437,0.775,-10824.0,356798.0,-0.03,0.0,1.438,1.888,0.375,-39370.859,-4974.312,0.526,0.197,0.0
normalized_mcsym_rp18_3.pdb,13.495,2.3027475481995907e-09,0.538,0.588,0.0,0.548,25.104,33.1,0.285,0.155,0.225,0.31,0.451,0.616,-30331.1,294664.0,-0.103,0.0,1.329,1.881,2.448,-46071.474,-6091.971,0.039,0.225,0.0
normalized_rhofold_rp18.pdb,13.865,7.768344023606488e-09,0.581,0.695,0.136,0.612,23.859,52.98,0.282,0.155,0.225,0.282,0.465,0.656,-12035.6,482251.0,-0.025,0.0,1.474,1.897,0.971,-51895.945,-8041.695,0.388,0.239,0.0
normalized_3drna_rp18_3.pdb,15.932,3.286978997263379e-06,0.648,0.698,0.289,0.654,24.574,,0.412,0.155,0.324,0.535,0.634,0.673,-20692.0,443254.0,-0.047,0.0,1.607,1.671,1.523,-52899.685,-7808.004,0.488,0.34,0.0
normalized_3drna_rp18_5.pdb,16.371,1.0074961723449682e-05,0.697,0.667,0.408,0.738,23.473,21.82,0.479,0.211,0.422,0.563,0.718,0.707,-19062.6,432067.0,-0.044,0.0,1.648,1.565,1.327,-52582.688,-8906.785,0.5,0.428,0.0
normalized_mcsym_rp18_2.pdb,16.458,1.2506107094190089e-05,0.566,0.567,0.0,0.602,29.072,34.63,0.264,0.127,0.225,0.282,0.422,0.621,-29976.7,349180.0,-0.086,0.0,1.65,1.876,2.487,-49983.542,-7855.526,0.026,0.276,0.0
normalized_mcsym_rp18_4.pdb,16.752,2.542732896199107e-05,0.59,0.588,0.289,0.615,28.374,31.92,0.285,0.183,0.225,0.282,0.451,0.628,-32247.3,349886.0,-0.092,0.0,1.679,1.882,2.483,-51437.95,-8757.196,0.02,0.252,0.0
normalized_vfoldpipeline_rp18.pdb,17.23,7.658689349571146e-05,0.683,0.784,0.0,0.679,25.227,21.43,0.236,0.141,0.225,0.254,0.324,0.681,-30847.4,324406.0,-0.095,0.0,1.803,1.523,1.838,-50265.703,-6534.194,0.455,0.244,0.0
normalized_3drna_rp18_2.pdb,17.606,0.00017360504098778984,0.734,0.81,0.289,0.734,23.986,23.68,0.458,0.141,0.338,0.606,0.747,0.708,-23170.1,412134.0,-0.056,0.0,1.784,1.487,1.491,-51983.408,-7825.947,0.52,0.38,0.0
normalized_mcsym_rp18_1.pdb,17.623,0.00018000383708360879,0.563,0.588,0.0,0.585,31.326,39.29,0.25,0.141,0.183,0.254,0.422,0.599,-29196.5,309476.0,-0.094,0.0,1.781,1.919,2.481,-46421.818,-6690.018,0.02,0.201,0.0
normalized_3drna_rp18.pdb,17.818,0.0002707184291936837,0.551,0.588,0.289,0.555,32.346,24.78,0.229,0.183,0.197,0.211,0.324,0.628,-31618.6,368323.0,-0.086,0.0,1.856,1.88,2.04,-54506.028,-8275.06,0.413,0.184,0.0
normalized_3drna_rp18_4.pdb,17.945,0.0003508485115527038,0.668,0.76,0.471,0.645,26.861,22.12,0.254,0.169,0.197,0.282,0.366,0.682,-31161.5,300130.0,-0.104,0.0,1.839,1.562,2.075,-49713.934,-7144.573,0.453,0.208,0.0
normalized_eprna_rp18.pdb,19.268,0.0039784856254642675,0.0,,0.0,0.0,inf,,0.187,0.056,0.099,0.183,0.408,0.436,25323.1,193970.0,0.131,0.0,1.908,2.244,0.058,-2567.655,-264.322,0.0,0.168,0.0
normalized_mcsym_rp18_5.pdb,19.676,0.0076058263966336526,0.599,0.588,0.236,0.633,32.842,33.65,0.278,0.155,0.239,0.31,0.408,0.627,-29921.2,328562.0,-0.091,0.0,1.982,1.855,2.547,-49398.54,-8042.591,0.019,0.295,0.0
normalized_rnacomposer_rp18.pdb,19.907,0.010764143048450414,0.709,0.784,0.471,0.697,28.06,22.09,0.25,0.197,0.197,0.254,0.352,0.694,-31967.9,284973.0,-0.112,0.0,2.0,1.542,1.541,-48852.806,-8700.952,0.482,0.218,0.0
normalized_3drna_rp18_1.pdb,20.206,0.016469679386475367,0.672,0.76,0.289,0.662,30.056,22.42,0.289,0.183,0.225,0.324,0.422,0.692,-32643.6,294014.0,-0.111,0.0,1.991,1.496,2.005,-50119.342,-7805.168,0.504,0.262,0.0
normalized_isrna_rp18.pdb,20.588,0.027399604804403288,0.719,0.784,0.0,0.733,28.623,19.7,0.243,0.155,0.211,0.254,0.352,0.68,-36884.0,285041.0,-0.129,0.0,2.093,1.465,2.319,-51236.381,-6833.971,0.45,0.207,0.0
normalized_ifoldrna_rp18_3.pdb,20.938,0.042182426073536006,0.311,0.227,0.0,0.396,67.226,,0.201,0.085,0.169,0.225,0.324,0.59,-12020.5,243075.0,-0.049,0.0,2.096,2.096,0.412,-26481.599,-1430.038,0.0,0.187,0.0
normalized_rnajp_rp18.pdb,23.546,0.3907930141250263,0.644,0.588,0.408,0.689,36.543,20.9,0.254,0.169,0.239,0.268,0.338,0.636,-36668.1,288022.0,-0.127,0.0,2.36,1.718,2.695,-49018.192,-7180.493,0.03,0.225,0.0
normalized_ifoldrna_rp18_5.pdb,24.168,0.5272701724897584,0.284,0.289,0.0,0.344,85.246,,0.183,0.099,0.155,0.225,0.254,0.555,-14139.8,191481.0,-0.074,0.0,2.464,2.116,0.598,-25381.486,-910.412,0.004,0.152,0.0
normalized_ifoldrna_rp18_2.pdb,24.232,0.5413130381180273,0.334,0.283,0.0,0.452,72.645,,0.194,0.113,0.197,0.225,0.239,0.57,-9946.26,268154.0,-0.037,0.0,2.492,2.123,0.432,-27311.298,-2232.593,0.004,0.187,0.0
normalized_ifoldrna_rp18_1.pdb,24.971,0.6965193731461115,0.357,0.267,0.0,0.458,69.924,,0.172,0.085,0.155,0.211,0.239,0.56,-12753.5,198814.0,-0.064,0.0,2.538,2.014,0.6,-24087.773,-1176.608,0.001,0.152,0.0
