,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_trrosettarna_rp21_1.pdb,1.92,1.6653345369377348e-16,0.715,0.877,0.447,0.734,2.686,,0.817,0.415,0.854,1.0,1.0,0.819,-14060.3,204324.0,-0.069,0.0,0.182,1.222,0.738,-29520.254,-4709.08,0.684,0.539,0.0
normalized_trrosettarna_rp21_3.pdb,2.229,6.106226635438361e-16,0.483,0.686,0.158,0.487,4.614,,0.756,0.268,0.756,1.0,1.0,0.804,-9960.98,202358.0,-0.049,0.0,0.21,1.603,0.495,-26023.484,-4357.581,0.619,0.459,0.0
normalized_trrosettarna_rp21_2.pdb,2.384,1.2212453270876722e-15,0.498,0.679,0.12,0.557,4.787,,0.799,0.366,0.829,1.0,1.0,0.803,-12331.9,202073.0,-0.061,0.0,0.225,1.556,0.557,-28234.327,-4402.153,0.627,0.498,0.0
normalized_rhofold_rp21.pdb,4.16,2.076783189863818e-12,0.64,0.881,0.365,0.599,6.498,,0.61,0.195,0.488,0.78,0.976,0.676,-12944.1,191116.0,-0.068,0.0,0.44,1.549,0.486,-26705.014,-4654.527,0.494,0.298,0.0
normalized_3drna_rp21_1.pdb,5.31,1.5546453013826067e-10,0.63,0.614,0.645,0.634,8.429,,0.726,0.585,0.61,0.707,1.0,0.68,-13429.5,198930.0,-0.068,0.0,0.496,1.724,0.752,-30132.637,-5150.547,0.505,0.55,0.0
normalized_3drna_rp21_5.pdb,6.481,8.387210426175074e-09,0.575,0.647,0.316,0.613,11.27,,0.658,0.463,0.585,0.756,0.829,0.696,-7865.92,208113.0,-0.038,0.0,0.626,1.704,0.63,-26799.948,-4516.279,0.446,0.482,0.0
normalized_3drna_rp21_2.pdb,7.256,9.339228151938883e-08,0.513,0.614,0.258,0.543,14.147,,0.64,0.463,0.634,0.683,0.78,0.605,-10065.0,226055.0,-0.045,0.0,0.782,2.027,0.68,-29986.612,-5061.494,0.44,0.472,0.0
normalized_trrosettarna_rp21_5.pdb,11.391,0.001780772271755493,0.224,0.0,0.0,0.371,50.943,,0.287,0.146,0.195,0.342,0.463,0.689,-6919.12,200888.0,-0.034,0.0,1.282,2.113,0.2,-23707.887,-3864.96,0.504,0.118,0.0
normalized_trrosettarna_rp21_4.pdb,11.403,0.0018180225753690604,0.257,0.277,0.0,0.361,44.339,,0.281,0.122,0.22,0.317,0.463,0.762,-5595.12,201716.0,-0.028,0.0,1.286,2.042,0.244,-23764.442,-4085.303,0.523,0.136,0.0
normalized_3drna_rp21_3.pdb,11.66,0.002844341017156693,0.595,0.647,0.645,0.564,19.594,,0.646,0.585,0.61,0.658,0.732,0.656,-12001.6,216191.0,-0.056,0.0,1.203,1.725,0.734,-29574.773,-4974.029,0.573,0.548,0.0
normalized_3drna_rp21_4.pdb,11.855,0.0039407419152010514,0.554,0.614,0.359,0.588,21.402,,0.646,0.512,0.634,0.683,0.756,0.638,-14611.6,201342.0,-0.073,0.0,1.212,1.771,0.782,-30462.303,-5140.767,0.595,0.522,0.0
normalized_eprna_rp21.pdb,13.065,0.02360404456855736,0.0,,0.0,,inf,,0.232,0.098,0.146,0.244,0.439,0.456,14219.6,120265.0,0.118,0.0,1.195,2.327,0.014,-6343.674,-612.021,0.0,0.129,0.0
normalized_3drna_rp21.pdb,13.381,0.03520983007478834,0.468,0.614,0.0,0.528,28.619,,0.408,0.244,0.342,0.439,0.61,0.624,-12586.4,177643.0,-0.071,0.0,1.301,2.036,0.694,-26218.213,-2888.205,0.362,0.25,0.0
normalized_rnajp_rp21.pdb,17.13,0.6078788255453069,0.556,0.614,0.0,0.629,30.821,,0.384,0.122,0.244,0.463,0.707,0.599,-19604.6,172615.0,-0.114,0.0,1.751,1.864,0.755,-26314.824,-5072.399,0.033,0.17,0.0
normalized_vfold_rp21.pdb,17.624,0.7081215970678205,0.492,0.647,0.0,0.562,35.807,,0.378,0.122,0.244,0.488,0.658,0.615,-16008.3,166392.0,-0.096,0.0,1.816,1.994,0.518,-23717.954,-3996.869,0.001,0.181,0.0
normalized_ifoldrna_rp21_4.pdb,19.217,0.9240519744736758,0.227,0.0,0.0,0.371,84.654,,0.22,0.146,0.146,0.268,0.317,0.529,-11906.5,153355.0,-0.078,0.0,1.975,2.637,0.376,-20028.965,-1721.739,0.004,0.179,0.0
normalized_ifoldrna_rp21_5.pdb,19.639,0.9522732610101585,0.191,0.0,0.0,0.336,103.081,,0.189,0.122,0.146,0.22,0.268,0.503,-8425.71,155957.0,-0.054,0.0,2.037,2.555,0.374,-18689.095,-1743.63,0.006,0.128,0.0
normalized_rnacomposer_rp21.pdb,20.368,0.9808955679455358,0.529,0.614,,0.575,38.499,,0.348,0.195,0.317,0.39,0.488,0.546,-16283.3,148126.0,-0.11,0.0,2.067,1.955,0.603,-23879.087,-3571.099,0.32,0.21,0.0
normalized_isrna_rp21.pdb,20.62,0.9865295260083061,0.582,0.614,,0.659,35.437,,0.348,0.171,0.268,0.415,0.537,0.605,-22515.4,151516.0,-0.149,0.0,2.078,1.907,0.723,-26886.12,-4488.053,0.355,0.206,0.0
normalized_vfoldpipeline_rp21.pdb,20.792,0.9895091061228704,0.519,0.614,,0.563,40.077,,0.335,0.122,0.244,0.366,0.61,0.563,-16466.1,144217.0,-0.114,0.0,2.06,1.984,0.776,-25238.391,-3543.619,0.315,0.198,0.0
normalized_ifoldrna_rp21_3.pdb,21.994,0.9985399777807757,0.21,0.0,,0.359,104.978,,0.195,0.098,0.146,0.244,0.293,0.509,-10080.3,140194.0,-0.072,0.0,2.266,2.523,0.366,-18703.183,-1792.487,0.015,0.189,0.0
normalized_ifoldrna_rp21_2.pdb,22.763,0.9996669215496972,0.142,0.0,0.0,0.259,160.443,,0.22,0.122,0.171,0.268,0.317,0.521,-10725.8,148938.0,-0.072,0.0,2.308,2.537,0.452,-20145.725,-2154.045,0.005,0.141,0.0
normalized_ifoldrna_rp21_1.pdb,23.851,0.9999693455559487,0.166,0.0,0.0,0.325,143.836,,0.195,0.146,0.146,0.195,0.293,0.512,-11259.3,133947.0,-0.084,0.0,2.416,2.513,0.359,-18175.395,-1596.493,0.007,0.18,0.0
normalized_simrna_rp21.pdb,38.483,1.0,0.0,0.0,,,inf,,0.165,0.122,0.122,0.171,0.244,0.517,-3337.06,50159.0,-0.067,0.0,3.621,2.075,0.022,-5833.399,-62.44,0.0,0.092,0.0
