,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_rhofold_rp34.pdb,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,-26580.3,326156.0,-0.081,0.0,0.0,0.0,1.515,-44642.338,-6253.687,1.0,1.0,0.0
normalized_isrna_rp34.pdb,12.956,3.26568144748407e-09,0.833,0.975,0.0,0.817,15.559,43.6,0.29,0.176,0.265,0.309,0.412,0.783,-30935.0,279711.0,-0.111,0.0,1.375,1.233,1.401,-45400.145,-5731.58,0.457,0.25,0.0
normalized_3drna_rp34_3.pdb,13.89,6.343812070097599e-08,0.72,0.866,0.5,0.682,19.289,46.02,0.287,0.176,0.25,0.309,0.412,0.677,-7995.94,336211.0,-0.024,0.0,1.41,1.457,1.057,-41563.244,-3903.054,0.388,0.276,0.0
normalized_rnacomposer_rp34.pdb,14.083,1.133314611601044e-07,0.833,1.0,0.5,0.783,16.913,45.97,0.283,0.103,0.25,0.338,0.441,0.784,-27882.7,258529.0,-0.108,0.0,1.516,1.102,1.129,-42564.198,-6028.629,0.523,0.241,0.0
normalized_vfoldpipeline_rp34.pdb,15.651,8.34234662372424e-06,0.678,0.922,0.0,0.645,23.073,43.84,0.257,0.147,0.235,0.279,0.368,0.741,-18754.8,258156.0,-0.073,0.0,1.602,1.277,1.081,-36845.7,-3855.408,0.414,0.23,0.0
normalized_trrosettarna_rp34_4.pdb,15.761,1.0968908068897942e-05,0.371,0.224,0.0,0.488,42.516,66.2,0.173,0.088,0.103,0.191,0.309,0.726,-8846.53,268885.0,-0.033,0.0,1.699,1.725,0.268,-29245.64,-3155.407,0.41,0.135,0.0
normalized_trrosettarna_rp34_3.pdb,15.962,1.7938000277328836e-05,0.38,,0.0,0.524,41.996,65.68,0.18,0.088,0.118,0.191,0.324,0.739,-9405.67,266406.0,-0.035,0.0,1.711,1.734,0.291,-28939.567,-2660.69,0.408,0.129,0.0
normalized_trrosettarna_rp34_5.pdb,16.464,5.830827568847896e-05,0.352,0.224,0.0,0.479,46.754,67.22,0.151,0.073,0.118,0.162,0.25,0.732,-9136.03,269411.0,-0.034,0.0,1.768,1.784,0.326,-30167.782,-2848.584,0.393,0.123,0.0
normalized_trrosettarna_rp34_1.pdb,16.875,0.00014429032652030216,0.659,0.866,0.0,0.623,25.613,51.05,0.309,0.162,0.265,0.338,0.471,0.776,-23238.3,269463.0,-0.086,0.0,1.804,1.369,1.147,-38333.503,-3744.295,0.508,0.256,0.0
normalized_3drna_rp34_1.pdb,17.103,0.00023382931613635805,0.595,0.71,0.0,0.584,28.747,,0.268,0.162,0.25,0.309,0.353,0.627,-5549.92,397436.0,-0.014,0.0,1.779,1.686,0.807,-39602.034,-4680.354,0.324,0.249,0.0
normalized_trrosettarna_rp34_2.pdb,17.496,0.0005191195654740688,0.769,0.922,0.289,0.743,22.761,49.79,0.335,0.176,0.265,0.368,0.529,0.804,-25471.9,271888.0,-0.094,0.0,1.886,1.245,1.325,-40933.388,-4603.927,0.529,0.262,0.0
normalized_3drna_rp34_2.pdb,18.479,0.003128950501903205,0.661,0.777,0.25,0.655,27.947,52.66,0.265,0.162,0.25,0.279,0.368,0.635,-6197.58,469226.0,-0.013,0.0,2.012,1.71,0.873,-46388.588,-6698.886,0.327,0.241,0.0
normalized_3drna_rp34_4.pdb,19.816,0.023237725468978343,0.719,0.866,0.354,0.681,27.544,50.38,0.239,0.147,0.221,0.265,0.324,0.672,-5570.31,326653.0,-0.017,0.0,2.03,1.43,0.887,-37748.88,-3740.698,0.291,0.216,0.0
normalized_rnajp_rp34.pdb,20.653,0.0634776708077277,0.573,0.727,0.0,0.561,36.016,46.85,0.294,0.162,0.235,0.353,0.426,0.728,-29529.7,323333.0,-0.091,0.0,2.119,1.642,1.693,-45916.81,-6878.971,0.01,0.261,0.0
normalized_3drna_rp34_5.pdb,21.296,0.12126025144951214,0.665,0.837,0.0,0.67,32.038,49.52,0.239,0.103,0.221,0.294,0.338,0.677,-8541.97,365154.0,-0.023,0.0,2.226,1.459,0.834,-40387.872,-5277.125,0.278,0.211,0.0
normalized_eprna_rp34.pdb,21.44,0.13804870315835055,0.0,,0.0,,inf,,0.107,0.059,0.073,0.132,0.162,0.51,21838.2,182904.0,0.119,0.0,2.142,2.113,0.039,-4335.472,1235.161,0.0,0.119,0.0
normalized_vfold_rp34.pdb,21.872,0.19797831137914745,0.56,0.727,0.0,0.541,39.088,,0.265,0.118,0.25,0.294,0.397,0.711,-23018.6,354499.0,-0.065,0.0,2.335,1.759,1.083,-42968.404,-5775.351,0.003,0.228,0.0
normalized_simrna_rp34.pdb,53.554,1.0,,,,,,59.98,0.11,0.073,0.103,0.118,0.147,0.609,-5349.25,84380.0,-0.063,0.0,5.151,1.758,0.038,-10008.258,-85.288,0.0,0.085,0.0
