,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_rhofold_rp32.pdb,2.283,0.0,0.784,0.832,0.0,0.818,2.913,45.02,0.427,0.146,0.271,0.354,0.938,0.012,-18773.5,217434.0,-0.086,0.0,0.241,1.059,0.904,-33298.106,-5112.522,0.662,0.483,0.0
normalized_vfoldpipeline_rp32.pdb,6.183,2.671529664155514e-12,0.816,0.968,0.0,0.818,7.576,21.01,0.312,0.125,0.208,0.312,0.604,0.013,-19796.0,221994.0,-0.089,0.0,0.628,1.299,1.066,-34849.374,-4924.776,0.548,0.349,0.0
normalized_trrosettarna_rp32_2.pdb,6.313,4.4293457790445245e-12,0.618,0.802,0.0,0.581,10.211,38.55,0.354,0.146,0.208,0.396,0.667,0.009,-17135.3,209360.0,-0.082,0.0,0.634,1.595,0.923,-31047.532,-4027.191,0.518,0.25,0.0
normalized_trrosettarna_rp32_1.pdb,6.362,5.347944309619379e-12,0.688,0.839,0.0,0.679,9.243,31.44,0.365,0.167,0.229,0.375,0.688,0.011,-18667.4,210206.0,-0.089,0.0,0.618,1.455,1.014,-32226.001,-4529.453,0.542,0.276,0.0
normalized_trrosettarna_rp32_3.pdb,6.427,6.881495373534108e-12,0.686,0.839,0.0,0.667,9.366,31.26,0.349,0.146,0.229,0.354,0.667,0.011,-18854.1,207385.0,-0.091,0.0,0.615,1.425,1.042,-32167.866,-4445.575,0.541,0.274,0.0
normalized_rnacomposer_rp32.pdb,7.18,1.1314865711042899e-10,0.803,0.91,0.0,0.81,8.942,25.45,0.323,0.125,0.188,0.333,0.646,0.012,-18815.7,212917.0,-0.088,0.0,0.722,1.279,0.842,-33034.888,-5447.251,0.554,0.238,0.0
normalized_3drna_rp32_2.pdb,7.585,4.768414552103195e-10,0.747,0.901,,0.72,10.15,32.6,0.318,0.125,0.229,0.312,0.604,0.013,-18121.5,193742.0,-0.094,0.0,0.747,1.464,1.052,-31869.082,-4588.811,0.514,0.289,0.0
normalized_3drna_rp32_5.pdb,7.66,6.168330846101355e-10,0.749,0.901,,0.73,10.223,32.86,0.328,0.125,0.229,0.354,0.604,0.011,-21306.5,194688.0,-0.109,0.0,0.78,1.371,1.043,-33493.139,-5161.996,0.528,0.272,0.0
normalized_trrosettarna_rp32_5.pdb,8.926,3.8862004392292704e-08,0.442,0.53,0.0,0.47,20.216,41.61,0.24,0.104,0.125,0.271,0.458,0.012,-12168.9,210693.0,-0.058,0.0,0.954,1.791,0.606,-28485.782,-3604.568,0.473,0.234,0.0
normalized_eprna_rp32.pdb,10.429,2.852667232711159e-06,0.0,,,0.0,inf,,0.224,0.083,0.125,0.208,0.479,0.01,18404.6,127301.0,0.145,0.0,0.94,2.141,0.028,-7700.067,-1101.454,0.0,0.141,0.0
normalized_trrosettarna_rp32_4.pdb,11.766,7.40277283008961e-05,0.379,0.0,0.0,0.515,31.085,63.41,0.224,0.104,0.146,0.229,0.417,0.013,-7109.16,209300.0,-0.034,0.0,1.304,1.883,0.257,-23227.827,-2718.558,0.42,0.12,0.0
normalized_3drna_rp32_1.pdb,12.805,0.0006467954032070566,0.726,0.869,0.0,0.727,17.626,33.62,0.229,0.104,0.146,0.25,0.417,0.011,-18093.6,183793.0,-0.098,0.0,1.401,1.569,1.068,-31666.465,-4872.929,0.494,0.223,0.0
normalized_isrna_rp32.pdb,13.137,0.0012111947811210277,0.779,0.935,,0.757,16.864,26.05,0.219,0.125,0.188,0.208,0.354,0.011,-23315.2,181379.0,-0.129,0.0,1.4,1.426,1.038,-33283.652,-5281.961,0.456,0.249,0.0
normalized_3drna_rp32_4.pdb,15.501,0.04276686807800134,0.719,0.935,,0.667,21.558,,0.24,0.125,0.229,0.25,0.354,0.011,-16099.0,191992.0,-0.084,0.0,1.638,1.512,1.058,-31608.8,-4597.163,0.503,0.257,0.0
normalized_3drna_rp32_3.pdb,15.815,0.061182957109307046,0.723,0.875,,0.695,21.864,35.63,0.208,0.104,0.125,0.229,0.375,0.011,-21064.4,208297.0,-0.101,0.0,1.666,1.539,1.091,-34347.767,-4979.349,0.494,0.219,0.0
normalized_mcsym_rp32_3.pdb,21.961,0.969207169032826,0.422,0.0,,0.622,51.982,35.16,0.208,0.125,0.167,0.25,0.292,0.012,-20119.7,198739.0,-0.101,0.0,2.246,2.234,1.127,-29165.873,-4522.217,0.015,0.242,0.0
normalized_vfold_rp32.pdb,22.167,0.9763557396173037,0.332,0.0,0.0,0.528,66.768,,0.193,0.125,0.146,0.208,0.292,0.009,-18761.4,207002.0,-0.091,0.0,2.285,2.293,0.854,-29406.905,-4293.077,0.003,0.282,0.0
normalized_mcsym_rp32_2.pdb,23.298,0.9954987346600381,0.325,0.0,,0.487,71.683,37.4,0.188,0.125,0.146,0.188,0.292,0.01,-18989.2,199614.0,-0.095,0.0,2.368,2.266,1.131,-29786.088,-4208.995,0.015,0.226,0.0
normalized_mcsym_rp32_5.pdb,25.746,0.9999644303884918,0.346,0.0,,0.507,74.48,39.45,0.213,0.125,0.188,0.25,0.292,0.011,-19048.7,178924.0,-0.106,0.0,2.622,2.269,1.121,-28272.296,-4108.599,0.004,0.275,0.0
normalized_mcsym_rp32_4.pdb,27.834,0.9999998567524725,0.386,0.0,,0.572,72.033,37.24,0.208,0.104,0.188,0.25,0.292,0.01,-20381.0,179176.0,-0.114,0.0,2.846,2.221,1.117,-28283.609,-4355.954,0.014,0.25,0.0
normalized_mcsym_rp32_1.pdb,27.851,0.999999863725038,0.397,0.0,0.0,0.579,70.234,37.02,0.224,0.125,0.208,0.25,0.312,0.009,-21257.3,176483.0,-0.12,0.0,2.83,2.243,1.056,-28813.333,-4589.47,0.005,0.262,0.0
normalized_rnajp_rp32.pdb,,,0.431,0.0,0.0,0.627,,,0.229,0.146,0.188,0.271,0.312,0.605,-28004.7,193190.0,-0.145,0.0,,,1.32,-34986.861,-6167.666,0.071,0.235,0.0
normalized_simrna_rp32.pdb,,,0.132,,,0.164,,,0.146,0.083,0.104,0.167,0.229,0.568,-3605.83,59713.0,-0.06,0.0,,,0.019,-6987.439,-79.9,0.0,0.071,0.0
