,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_trrosettarna_rp29_1.pdb,1.45,0.0,0.745,0.756,,0.761,1.946,24.67,0.942,0.769,1.0,1.0,1.0,0.898,-22282.2,232968.0,-0.096,0.0,0.129,1.148,1.611,-33273.781,-4899.013,0.754,0.811,0.0
normalized_trrosettarna_rp29_2.pdb,1.569,0.0,0.624,0.787,0.0,0.607,2.515,31.77,0.913,0.654,1.0,1.0,1.0,0.884,-19975.0,231782.0,-0.086,0.0,0.143,1.324,1.584,-32766.856,-4741.698,0.734,0.779,0.0
normalized_trrosettarna_rp29_3.pdb,1.722,0.0,0.52,0.724,0.316,0.469,3.311,37.23,0.904,0.615,1.0,1.0,1.0,0.871,-19847.3,230958.0,-0.086,0.0,0.147,1.445,1.307,-31553.496,-5465.426,0.723,0.777,0.0
normalized_trrosettarna_rp29_4.pdb,1.868,0.0,0.578,0.756,0.5,0.513,3.235,33.48,0.904,0.635,0.981,1.0,1.0,0.881,-19968.3,231688.0,-0.086,0.0,0.156,1.354,1.235,-32107.284,-4748.772,0.711,0.767,0.0
normalized_trrosettarna_rp29_5.pdb,11.105,1.058780289830974e-06,0.39,0.436,0.0,0.456,28.442,58.54,0.26,0.115,0.192,0.308,0.423,0.822,-11122.1,231273.0,-0.048,0.0,1.278,1.779,0.303,-26227.082,-3606.799,0.576,0.165,0.0
normalized_mcsym_rp29_1.pdb,13.453,0.00029370034889414365,0.554,0.507,,0.589,24.302,31.12,0.337,0.173,0.231,0.404,0.538,0.701,-19828.3,233621.0,-0.085,0.0,1.427,1.773,1.679,-31815.671,-4464.001,0.021,0.23,0.0
normalized_vfoldpipeline_rp29.pdb,13.903,0.0007174335264050757,0.527,0.525,,0.541,26.376,28.64,0.284,0.192,0.25,0.269,0.423,0.666,-18869.8,175207.0,-0.108,0.0,1.382,1.703,1.22,-27540.343,-3214.471,0.358,0.215,0.0
normalized_eprna_rp29.pdb,14.357,0.001667973471977502,0.0,,0.0,0.0,inf,,0.274,0.077,0.173,0.327,0.519,0.512,15505.9,156908.0,0.099,0.0,1.384,2.136,0.066,-6311.285,-889.968,0.0,0.176,0.0
normalized_vfold_rp29.pdb,14.856,0.003930547446282184,0.546,0.563,0.0,0.561,27.184,,0.288,0.173,0.288,0.308,0.385,0.652,-15135.7,217461.0,-0.07,0.0,1.588,1.79,1.341,-25854.09,-3576.118,0.002,0.218,0.0
normalized_isrna_rp29.pdb,15.191,0.006727093294191355,0.59,0.546,0.0,0.642,25.751,22.94,0.279,0.154,0.25,0.327,0.385,0.699,-22534.2,226912.0,-0.099,0.0,1.613,1.774,1.67,-35754.528,-5247.247,0.455,0.242,0.0
normalized_3drna_rp29_3.pdb,15.814,0.016761107780541795,0.559,0.526,0.5,0.58,28.272,33.29,0.298,0.192,0.288,0.308,0.404,0.696,-15802.4,220234.0,-0.072,0.0,1.626,1.699,1.155,-30589.384,-4382.542,0.443,0.25,0.0
normalized_mcsym_rp29_5.pdb,15.959,0.020424795488316938,0.59,0.546,0.0,0.642,27.053,37.76,0.312,0.154,0.269,0.365,0.462,0.734,-19017.1,221240.0,-0.086,0.0,1.704,1.637,1.898,-30419.147,-4780.934,0.009,0.251,0.0
normalized_3drna_rp29_2.pdb,16.22,0.028708535211380504,0.559,0.567,0.5,0.561,28.998,38.13,0.303,0.211,0.288,0.327,0.385,0.647,-14451.2,227939.0,-0.063,0.0,1.691,1.816,1.034,-31195.723,-4452.248,0.425,0.266,0.0
normalized_3drna_rp29_5.pdb,16.796,0.05704776013381163,0.54,0.552,0.5,0.541,31.079,32.63,0.288,0.211,0.288,0.308,0.346,0.698,-13897.8,209456.0,-0.066,0.0,1.733,1.699,1.081,-28659.29,-4040.231,0.428,0.263,0.0
normalized_3drna_rp29_4.pdb,16.84,0.05987854945654797,0.559,0.509,0.0,0.607,30.106,34.11,0.279,0.25,0.269,0.288,0.308,0.675,-15058.6,191582.0,-0.079,0.0,1.722,1.681,1.075,-27034.903,-3472.951,0.412,0.248,0.0
normalized_rhofold_rp29.pdb,17.053,0.07531618478351865,0.54,0.621,0.0,0.57,31.557,52.09,0.337,0.173,0.327,0.365,0.481,0.68,-15298.3,260694.0,-0.059,0.0,1.793,1.627,0.922,-31561.622,-4168.006,0.461,0.285,0.0
normalized_mcsym_rp29_2.pdb,17.1,0.07908870852915767,0.595,0.563,,0.625,28.722,32.44,0.279,0.192,0.269,0.308,0.346,0.711,-19284.5,207001.0,-0.093,0.0,1.765,1.732,1.82,-29257.014,-4439.377,0.007,0.276,0.0
normalized_rnacomposer_rp29.pdb,17.279,0.0948404127415079,0.619,0.563,0.707,0.643,27.928,23.14,0.288,0.192,0.269,0.327,0.365,0.681,-18731.7,203576.0,-0.092,0.0,1.852,1.635,1.143,-31662.448,-4922.248,0.446,0.234,0.0
normalized_rnajp_rp29.pdb,17.332,0.09991160945505895,0.614,0.582,0.408,0.643,28.22,24.23,0.279,0.173,0.288,0.308,0.346,0.679,-22287.7,267210.0,-0.083,0.0,1.791,1.734,2.19,-37132.258,-7029.498,0.042,0.325,0.0
normalized_mcsym_rp29_4.pdb,17.394,0.10600349315750818,0.64,0.546,,0.7,27.157,34.74,0.279,0.173,0.288,0.308,0.346,0.726,-19959.8,223084.0,-0.089,0.0,1.792,1.682,1.891,-31196.887,-5493.594,0.017,0.333,0.0
normalized_3drna_rp29_1.pdb,18.267,0.22281418204026865,0.559,0.526,0.5,0.58,32.658,30.33,0.288,0.211,0.288,0.308,0.346,0.672,-14292.0,239833.0,-0.06,0.0,1.867,1.684,0.886,-30588.274,-4666.676,0.41,0.273,0.0
normalized_mcsym_rp29_3.pdb,19.069,0.37547435567606285,0.561,0.6,0.0,0.573,33.97,31.68,0.269,0.211,0.269,0.288,0.308,0.68,-18404.3,249833.0,-0.074,0.0,1.981,1.753,1.699,-32114.889,-5747.845,0.016,0.273,0.0
