,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_rhofold_rp06.pdb,11.354,0.0,0.358,0.286,0.0,0.474,31.673,,0.082,0.032,0.051,0.095,0.152,0.087,6927.64,1488043.0,0.005,0.0,1.129,2.236,1.032,-128825.214,-12867.81,0.329,0.415,0.0
normalized_trrosettarna_rp06_2.pdb,18.34,0.0,0.626,0.729,0.102,0.636,29.306,,0.081,0.044,0.063,0.101,0.114,0.094,-59349.0,866967.0,-0.068,0.0,1.881,1.458,2.583,-114264.365,-11882.682,0.53,0.428,0.0
normalized_trrosettarna_rp06_1.pdb,19.216,0.0,0.602,0.705,0.072,0.63,31.922,,0.081,0.044,0.063,0.095,0.12,0.092,-51866.0,846022.0,-0.061,0.0,1.965,1.589,2.228,-109463.522,-10765.405,0.505,0.38,0.0
normalized_trrosettarna_rp06_3.pdb,19.443,0.0,0.547,0.619,0.061,0.597,35.53,,0.082,0.044,0.07,0.095,0.12,0.091,-51187.5,838075.0,-0.061,0.0,2.001,1.614,2.122,-106893.862,-10646.908,0.495,0.383,0.0
normalized_trrosettarna_rp06_4.pdb,19.443,0.0,0.512,0.566,0.0,0.572,37.987,,0.081,0.044,0.063,0.095,0.12,0.091,-45391.9,842010.0,-0.054,0.0,1.998,1.701,1.782,-104909.41,-9522.668,0.482,0.377,0.0
normalized_vfoldpipeline_rp06.pdb,21.548,0.0,0.638,0.638,0.333,0.67,33.796,,0.073,0.051,0.057,0.076,0.108,0.094,-72037.6,950754.0,-0.076,0.0,2.199,1.715,3.477,-133841.16,-15137.728,0.447,0.335,0.0
normalized_trrosettarna_rp06_5.pdb,24.708,2.09277040141842e-14,0.453,0.489,0.061,0.512,54.568,,0.081,0.044,0.063,0.101,0.114,0.089,-37747.4,901546.0,-0.042,0.0,2.569,1.779,1.551,-102914.266,-9840.118,0.449,0.289,0.0
normalized_3drna_rp06_5.pdb,26.555,3.317757180099079e-11,0.571,0.577,0.125,0.61,46.503,,0.071,0.044,0.051,0.07,0.12,0.097,-43307.9,864708.0,-0.05,0.0,2.722,1.759,2.286,-109802.138,-10468.436,0.378,0.245,0.0
normalized_3drna_rp06_3.pdb,27.281,4.5151665739595614e-10,0.598,0.646,0.177,0.615,45.621,,0.065,0.032,0.051,0.07,0.108,0.095,-45058.4,907003.0,-0.05,0.0,2.781,1.715,2.358,-112864.261,-11252.766,0.388,0.287,0.0
normalized_3drna_rp06_4.pdb,28.153,8.452054223173633e-09,0.567,0.6,0.102,0.6,49.638,,0.07,0.032,0.051,0.076,0.12,0.096,-45106.7,878178.0,-0.051,0.0,2.87,1.723,2.3,-110819.401,-10566.163,0.384,0.273,0.0
