,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_isrna_rp11.pdb,4.297,0.0,0.862,0.956,,0.809,4.985,18.07,0.526,0.14,0.351,0.649,0.965,0.791,-34432.8,239646.0,-0.144,0.0,0.447,1.11,1.683,-44366.026,-6597.82,0.604,0.385,0.0
normalized_vfoldpipeline_rp11.pdb,4.654,0.0,0.869,0.952,,0.835,5.358,15.21,0.61,0.316,0.474,0.719,0.93,0.847,-27670.9,268718.0,-0.103,0.0,0.448,0.946,2.37,-44029.625,-5674.079,0.751,0.473,0.0
normalized_mcsym_rp11_5.pdb,4.659,0.0,0.832,0.977,,0.758,5.602,32.36,0.469,0.105,0.263,0.526,0.983,0.779,-26376.7,265709.0,-0.099,0.0,0.494,1.179,1.62,-39419.996,-5972.119,0.017,0.31,0.0
normalized_mcsym_rp11_3.pdb,5.344,0.0,0.825,0.977,,0.758,6.478,31.99,0.474,0.123,0.246,0.597,0.93,0.795,-27685.1,265752.0,-0.104,0.0,0.537,1.164,1.516,-40243.212,-5943.463,0.021,0.302,0.0
normalized_rhofold_rp11.pdb,5.985,5.551115123125783e-17,0.783,0.917,,0.696,7.645,43.61,0.443,0.123,0.246,0.614,0.789,0.822,-24491.7,240851.0,-0.102,0.0,0.625,0.978,1.514,-36890.022,-5270.801,0.604,0.349,0.0
normalized_mcsym_rp11_1.pdb,6.305,2.7755575615628914e-16,0.808,0.977,,0.731,7.803,28.35,0.412,0.14,0.228,0.439,0.842,0.785,-27020.2,281195.0,-0.096,0.0,0.642,1.039,1.533,-41093.152,-6198.046,0.009,0.275,0.0
normalized_3drna_rp11_4.pdb,6.467,6.106226635438361e-16,0.835,0.956,,0.785,7.743,22.16,0.443,0.14,0.281,0.561,0.789,0.779,-27528.4,264840.0,-0.104,0.0,0.661,1.218,1.638,-43141.216,-6578.859,0.601,0.311,0.0
normalized_mcsym_rp11_4.pdb,6.867,3.497202527569243e-15,0.787,0.927,,0.731,8.725,30.17,0.425,0.123,0.263,0.526,0.789,0.785,-28612.9,265786.0,-0.108,0.0,0.699,1.24,1.589,-40023.545,-6500.095,0.071,0.298,0.0
normalized_mcsym_rp11_2.pdb,6.97,5.440092820663267e-15,0.821,0.977,,0.731,8.487,33.09,0.404,0.14,0.228,0.474,0.772,0.76,-22811.1,254468.0,-0.09,0.0,0.73,1.212,1.553,-37360.806,-4546.637,0.018,0.35,0.0
normalized_trrosettarna_rp11_1.pdb,7.839,2.153277556260491e-13,0.624,0.845,,0.53,12.569,32.16,0.43,0.175,0.333,0.491,0.719,0.795,-20931.6,262862.0,-0.08,0.0,0.801,1.512,1.477,-39061.667,-4945.441,0.604,0.301,0.0
normalized_trrosettarna_rp11_2.pdb,7.884,2.5884849819135525e-13,0.679,0.873,,0.611,11.618,25.62,0.43,0.158,0.333,0.491,0.737,0.799,-22305.4,260964.0,-0.085,0.0,0.795,1.386,1.545,-39503.049,-4994.003,0.616,0.307,0.0
normalized_3drna_rp11_2.pdb,8.49,2.9166669079927487e-12,0.845,0.956,,0.789,10.043,21.34,0.456,0.158,0.263,0.579,0.825,0.787,-26892.4,238444.0,-0.113,0.0,0.879,1.17,1.574,-40683.111,-5729.619,0.584,0.263,0.0
normalized_3drna_rp11_1.pdb,8.556,3.766875700250694e-12,0.812,0.956,,0.768,10.534,22.18,0.417,0.228,0.316,0.421,0.702,0.821,-25217.2,263832.0,-0.096,0.0,0.889,1.2,1.57,-43390.603,-6139.018,0.625,0.238,0.0
normalized_vfold_rp11.pdb,9.019,2.1987911491549994e-11,0.833,0.952,,0.781,10.832,,0.333,0.175,0.263,0.368,0.526,0.81,-23705.7,280871.0,-0.084,0.0,0.969,1.083,1.909,-42309.526,-5622.039,0.229,0.297,0.0
