,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_trrosettarna_rp04_1.pdb,2.192,0.0,0.668,0.782,0.577,0.633,3.284,30.69,0.819,0.452,0.849,0.976,1.0,0.857,-56269.7,732789.0,-0.077,0.0,0.208,1.256,2.254,-94124.067,-11441.823,0.741,0.876,0.0
normalized_trrosettarna_rp04_2.pdb,2.463,0.0,0.711,0.811,0.258,0.708,3.467,31.17,0.814,0.444,0.825,0.984,1.0,0.865,-55933.2,730306.0,-0.077,0.0,0.211,1.186,2.205,-92919.321,-11645.2,0.73,0.873,0.0
normalized_rhofold_rp04.pdb,3.596,0.0,0.822,0.891,0.471,0.807,4.375,46.59,0.559,0.119,0.389,0.73,1.0,0.815,-55703.9,673359.0,-0.083,0.0,0.385,0.975,2.266,-88703.919,-11325.385,0.624,0.684,0.0
normalized_3drna_rp04_1.pdb,8.911,0.0,0.808,0.848,0.408,0.812,11.027,23.89,0.48,0.286,0.397,0.516,0.722,0.826,-55458.1,639948.0,-0.087,0.0,0.895,1.049,2.514,-92722.951,-10311.44,0.666,0.526,0.0
normalized_3drna_rp04_5.pdb,10.216,0.0,0.795,0.837,0.471,0.794,12.844,25.06,0.432,0.294,0.397,0.484,0.556,0.783,-55660.8,647186.0,-0.086,0.0,1.043,1.195,2.53,-92205.788,-10486.995,0.623,0.481,0.0
normalized_3drna_rp04_3.pdb,11.372,0.0,0.772,0.837,0.471,0.76,14.728,25.12,0.502,0.294,0.405,0.532,0.778,0.784,-58330.2,644225.0,-0.091,0.0,1.124,1.23,2.583,-93867.146,-11144.32,0.63,0.532,0.0
normalized_3drna_rp04_4.pdb,15.062,0.0,0.791,0.885,0.408,0.772,19.031,26.79,0.464,0.286,0.373,0.444,0.754,0.782,-52928.9,605408.0,-0.087,0.0,1.505,1.198,2.527,-89069.622,-10626.498,0.61,0.453,0.0
normalized_3drna_rp04_2.pdb,15.491,0.0,0.761,0.861,0.289,0.74,20.352,27.7,0.486,0.278,0.405,0.532,0.73,0.765,-57253.6,627067.0,-0.091,0.0,1.544,1.256,2.54,-92101.56,-10312.715,0.621,0.553,0.0
normalized_trrosettarna_rp04_5.pdb,18.077,0.0,0.399,0.147,0.0,0.554,45.332,61.1,0.182,0.048,0.119,0.23,0.333,0.787,-24497.3,729899.0,-0.034,0.0,1.927,1.872,0.777,-75170.162,-7924.197,0.538,0.211,0.0
normalized_trrosettarna_rp04_3.pdb,18.1,0.0,0.377,,0.085,0.523,47.979,65.44,0.181,0.056,0.111,0.23,0.325,0.803,-27207.5,730651.0,-0.037,0.0,1.917,1.825,0.81,-75387.796,-8006.645,0.564,0.214,0.0
