,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_vfold_r1149_2.pdb,12.266,0.0,0.766,0.87,0.0,0.736,16.003,26.15,0.242,0.097,0.185,0.25,0.435,0.0,0.437,1.279,1.223,3.028,0.001,0.78,,,
normalized_vfold_r1149_1.pdb,12.359,0.0,0.735,0.858,0.378,0.702,16.817,24.15,0.262,0.105,0.185,0.282,0.476,0.0,0.417,1.283,1.256,2.91,0.002,0.792,,,
normalized_vfoldpipeline_r1149.pdb,14.05,0.0,0.738,0.869,0.0,0.687,19.045,20.63,0.228,0.121,0.161,0.218,0.411,0.0,0.385,1.469,1.19,3.763,0.549,0.768,,,
normalized_rnacomposer_r1149.pdb,15.954,0.0,0.807,0.915,0.707,0.759,19.759,19.41,0.22,0.121,0.153,0.25,0.355,0.0,0.365,1.685,1.089,3.234,0.619,0.798,,,
normalized_isrna_r1149.pdb,16.899,0.0,0.825,0.904,,0.795,20.492,15.05,0.208,0.121,0.153,0.25,0.306,0.0,0.251,1.747,1.055,4.568,0.601,0.797,,,
normalized_3drna_r1149_1.pdb,17.717,0.0,0.736,0.845,0.577,0.692,24.076,25.8,0.196,0.097,0.161,0.226,0.298,0.0,0.238,1.877,1.3,3.475,0.425,0.768,,,
normalized_3drna_r1149_3.pdb,17.721,0.0,0.751,0.869,0.0,0.719,23.589,26.25,0.204,0.105,0.129,0.234,0.347,0.0,0.262,1.832,1.276,3.492,0.578,0.766,,,
normalized_rnajp_r1149.pdb,18.257,0.0,0.852,0.873,0.5,0.854,21.423,16.56,0.28,0.105,0.185,0.323,0.508,0.0,0.391,1.872,0.96,6.512,0.056,0.835,,,
normalized_trrosettarna_r1149_3.pdb,18.576,5.551115123125783e-17,0.529,0.404,0.5,0.584,35.097,29.33,0.177,0.129,0.169,0.194,0.218,0.0,0.221,1.957,1.627,2.589,0.474,0.759,,,
normalized_3drna_r1149_5.pdb,18.841,2.220446049250313e-16,0.59,0.686,0.0,0.599,31.924,30.16,0.202,0.081,0.145,0.234,0.347,0.0,0.258,1.956,1.66,2.311,0.35,0.671,,,
normalized_trrosettarna_r1149_4.pdb,19.257,1.3322676295501878e-15,0.517,0.396,0.0,0.604,37.213,31.88,0.22,0.113,0.21,0.258,0.298,0.0,0.245,2.071,1.688,2.097,0.471,0.745,,,
normalized_trrosettarna_r1149_5.pdb,19.282,1.4988010832439613e-15,0.57,0.447,0.0,0.653,33.81,31.89,0.173,0.121,0.153,0.194,0.226,0.0,0.203,2.038,1.603,2.464,0.465,0.74,,,
normalized_simrna_r1149.pdb,20.511,2.860489622946717e-13,0.812,0.875,0.707,0.785,25.273,16.97,0.242,0.081,0.185,0.266,0.435,0.0,0.297,2.144,1.123,4.52,0.022,0.82,,,
normalized_trrosettarna_r1149_1.pdb,20.723,6.758482662405639e-13,0.583,0.621,0.707,0.569,35.517,26.48,0.222,0.129,0.21,0.266,0.282,0.0,0.243,2.194,1.564,3.653,0.518,0.775,,,
normalized_rhofold_r1149.pdb,21.897,6.103484384567537e-11,0.512,0.152,0.183,0.7,42.797,65.62,0.198,0.048,0.097,0.242,0.403,0.0,0.26,2.276,2.553,1.711,0.0,0.615,,,
normalized_trrosettarna_r1149_2.pdb,22.067,1.1318485038103175e-10,0.596,0.616,0.0,0.609,37.003,30.12,0.208,0.113,0.194,0.25,0.274,0.0,0.228,2.339,1.587,3.197,0.499,0.746,,,
normalized_3drna_r1149_4.pdb,22.398,3.6685027238192447e-10,0.634,0.707,0.0,0.608,35.325,30.02,0.19,0.089,0.137,0.218,0.315,0.0,0.247,2.354,1.726,2.674,0.345,0.656,,,
normalized_3drna_r1149_2.pdb,23.794,3.661548997335729e-08,0.641,0.783,0.0,0.59,37.095,31.78,0.226,0.081,0.153,0.234,0.435,0.0,0.278,2.459,1.607,2.696,0.4,0.694,,,
normalized_alphafold3_R1149_5.pdb,12.65,0.0,0.839,0.821,0.707,0.848,15.087,10.46,0.284,0.169,0.218,0.282,0.468,0.0,0.337,1.322,1.153,5.597,0.668,0.845,0.0,100.0,124.0
normalized_alphafold3_R1149_3.pdb,13.039,0.0,0.835,0.821,1.0,0.839,15.617,10.01,0.29,0.153,0.21,0.274,0.524,0.0,0.292,1.359,1.176,5.628,0.662,0.851,0.0,100.0,124.0
normalized_alphafold3_R1149_4.pdb,13.124,0.0,0.842,0.821,0.707,0.853,15.585,10.41,0.292,0.153,0.218,0.29,0.508,0.0,0.353,1.379,1.165,5.619,0.657,0.847,0.0,100.0,124.0
normalized_alphafold3_R1149_1.pdb,14.091,0.0,0.842,0.821,1.0,0.85,16.733,10.15,0.294,0.137,0.226,0.29,0.524,0.0,0.365,1.469,1.157,5.636,0.655,0.846,0.0,100.0,124.0
normalized_alphafold3_R1149_2.pdb,14.699,0.0,0.842,0.821,1.0,0.85,17.455,10.32,0.294,0.137,0.226,0.282,0.532,0.0,0.37,1.524,1.152,5.618,0.656,0.845,0.0,100.0,124.0
