,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD
normalized_3drna_r1190_5.pdb,22.356,7.338153473757103e-09,0.629,0.769,,0.57,35.547,43.93,0.244,0.11,0.22,0.28,0.364,0.0,0.297,2.277,1.44,2.778,0.529,0.691
normalized_rhofold_R1190.pdb,22.588,1.5453133994647317e-08,0.429,0.439,0.0,0.484,52.706,61.71,0.201,0.076,0.178,0.246,0.305,0.0,0.245,2.398,2.116,1.16,0.387,0.64
normalized_3drna_r1190_2.pdb,23.205,1.0304028491558981e-07,0.625,0.743,0.0,0.596,37.128,48.54,0.22,0.076,0.17,0.28,0.356,0.0,0.274,2.333,1.445,2.519,0.516,0.693
normalized_3drna_r1190_4.pdb,23.526,2.645579804116949e-07,0.631,0.75,0.0,0.594,37.276,44.9,0.218,0.093,0.22,0.263,0.297,0.0,0.235,2.388,1.438,2.537,0.535,0.706
normalized_3drna_r1190_3.pdb,27.491,0.0024591488093106,0.654,0.795,0.0,0.604,42.051,44.84,0.212,0.093,0.195,0.271,0.288,0.0,0.222,2.821,1.436,2.366,0.512,0.698
normalized_vfold_r1190_2.pdb,29.008,0.0244274136190925,0.624,0.8,0.0,0.565,46.484,40.79,0.225,0.11,0.178,0.297,0.314,0.0,0.241,2.98,1.405,2.304,0.008,0.705
normalized_isrna_r1190.pdb,29.184,0.0306059919901562,0.642,0.8,0.0,0.588,45.43,37.46,0.233,0.11,0.212,0.288,0.322,0.0,0.25,2.987,1.552,2.777,0.443,0.688
normalized_simrna_r1190.pdb,29.316,0.0360346311675575,0.594,0.675,0.0,0.596,49.389,38.11,0.178,0.085,0.144,0.186,0.297,0.0,0.248,3.016,1.928,3.624,0.003,0.688
normalized_3drna_r1190_1.pdb,29.412,0.0404656028592845,0.616,0.763,0.0,0.557,47.732,47.51,0.214,0.093,0.186,0.28,0.297,0.0,0.238,2.976,1.408,2.517,0.514,0.696
normalized_trrosettarna_r1190_1.pdb,29.629,0.0521016100036902,0.566,0.718,0.0,0.56,52.376,38.33,0.199,0.102,0.161,0.229,0.305,0.0,0.193,3.025,1.478,2.06,0.514,0.684
normalized_trrosettarna_r1190_4.pdb,29.712,0.0572357910189967,0.487,0.591,0.0,0.478,60.998,43.52,0.193,0.093,0.144,0.212,0.322,0.0,0.194,3.023,1.562,1.638,0.488,0.682
normalized_rnajp_r1190.pdb,29.941,0.0733155988987844,0.684,0.8,0.0,0.659,43.777,34.06,0.229,0.119,0.195,0.288,0.314,0.0,0.237,3.075,1.432,3.457,0.056,0.708
normalized_vfoldpipeline_r1190.pdb,30.381,0.1137604239608426,0.65,0.788,0.0,0.587,46.775,39.96,0.233,0.119,0.229,0.28,0.305,0.0,0.249,3.096,1.35,2.572,0.508,0.701
normalized_vfold_r1190_3.pdb,31.01,0.1955535396958209,0.613,0.8,0.0,0.539,50.576,38.24,0.214,0.102,0.17,0.28,0.305,0.0,0.225,3.142,1.554,2.43,0.003,0.684
normalized_vfold_r1190_1.pdb,31.493,0.2778823670466113,0.646,0.788,0.0,0.584,48.744,41.84,0.208,0.093,0.161,0.271,0.305,0.0,0.221,3.18,1.568,2.102,0.008,0.701
normalized_vfold_r1190_4.pdb,32.434,0.4735706719136531,0.616,0.788,0.0,0.564,52.618,40.07,0.216,0.102,0.161,0.271,0.331,0.0,0.233,3.324,1.55,2.387,0.004,0.699
normalized_trrosettarna_r1190_2.pdb,32.707,0.5339530014352805,0.537,0.722,0.0,0.509,60.915,41.29,0.208,0.11,0.17,0.22,0.331,0.0,0.203,3.34,1.448,2.12,0.524,0.692
normalized_trrosettarna_r1190_5.pdb,32.785,0.5511526452378871,0.315,0.348,0.0,0.362,104.101,54.37,0.14,0.076,0.102,0.152,0.229,0.0,0.173,3.312,1.736,0.797,0.437,0.65
normalized_trrosettarna_r1190_3.pdb,34.221,0.8228871554572613,0.545,0.574,0.0,0.559,62.814,42.44,0.193,0.102,0.17,0.212,0.288,0.0,0.2,3.481,1.505,1.785,0.503,0.667
normalized_rnacomposer_r1190.pdb,35.591,0.9542629766666676,0.678,0.8,0.0,0.653,52.523,36.54,0.203,0.085,0.152,0.271,0.305,0.0,0.204,3.596,1.427,2.601,0.553,0.703
normalized_vfold_r1190_5.pdb,37.932,0.9985973701222636,0.66,0.8,0.0,0.614,57.481,41.34,0.223,0.11,0.17,0.288,0.322,0.0,0.235,3.856,1.405,2.409,0.005,0.714
