,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD
normalized_3drna_r1156_2.pdb,19.048,0.0,0.601,0.736,,0.578,31.702,29.44,0.209,0.067,0.148,0.259,0.363,0.0,0.286,1.968,1.668,2.247,0.325,0.659
normalized_3drna_r1156_3.pdb,19.634,0.0,0.705,0.839,,0.667,27.85,30.0,0.169,0.096,0.163,0.193,0.222,0.0,0.216,2.06,1.464,2.7,0.438,0.721
normalized_trrosettarna_r1156_3.pdb,19.982,0.0,0.468,0.495,,0.489,42.727,34.54,0.118,0.067,0.111,0.126,0.17,0.0,0.218,2.106,1.688,1.829,0.438,0.705
normalized_trrosettarna_r1156_1.pdb,20.556,2.775557561562891e-16,0.568,0.513,,0.624,36.189,29.85,0.181,0.096,0.17,0.222,0.237,0.0,0.227,2.172,1.559,1.746,0.457,0.714
normalized_3drna_r1156_5.pdb,21.143,4.0523140398818206e-15,0.661,0.805,,0.61,32.0,28.43,0.165,0.074,0.133,0.215,0.237,0.0,0.203,2.2,1.558,2.778,0.407,0.681
normalized_rnacomposer_r1156.pdb,21.346,9.880984919163892e-15,0.745,0.882,,0.682,28.651,19.49,0.183,0.096,0.133,0.2,0.304,0.0,0.283,2.196,1.209,2.763,0.538,0.754
normalized_trrosettarna_r1156_4.pdb,23.143,1.4214740495788192e-11,0.499,0.51,,0.567,46.35,32.61,0.174,0.089,0.163,0.2,0.244,0.0,0.24,2.407,1.664,1.878,0.444,0.702
normalized_trrosettarna_r1156_5.pdb,23.34,2.9798552514392895e-11,0.542,0.561,,0.575,43.067,30.44,0.178,0.096,0.156,0.215,0.244,0.0,0.28,2.458,1.625,1.932,0.454,0.706
normalized_trrosettarna_r1156_2.pdb,23.874,2.0722790150529136e-10,0.548,0.576,,0.572,43.53,32.03,0.18,0.111,0.163,0.2,0.244,0.0,0.278,2.49,1.572,2.311,0.468,0.724
normalized_simrna_r1156.pdb,26.013,2.0950726425938981e-07,0.82,0.944,,0.78,31.741,18.11,0.198,0.082,0.141,0.244,0.326,0.0,0.281,2.739,1.254,4.341,0.01,0.796
normalized_3drna_r1156_1.pdb,26.106,2.7473524771837177e-07,0.612,0.69,,0.592,42.691,27.68,0.189,0.082,0.141,0.207,0.326,0.0,0.228,2.664,1.679,2.227,0.317,0.665
normalized_3drna_r1156_4.pdb,26.404,6.397087219944808e-07,0.62,0.782,,0.553,42.563,34.22,0.148,0.074,0.104,0.178,0.237,0.0,0.262,2.707,1.751,2.177,0.245,0.616
normalized_rnajp_r1156.pdb,26.63,1.197468423419501e-06,0.771,0.863,,0.748,34.547,17.6,0.187,0.082,0.133,0.215,0.319,0.0,0.319,2.718,1.185,5.316,0.023,0.774
normalized_isrna_r1156.pdb,27.528,1.2318358747598346e-05,0.722,0.861,,0.674,38.135,15.06,0.206,0.089,0.148,0.259,0.326,0.0,0.258,2.824,1.32,3.886,0.465,0.74
normalized_rhofold_r1156.pdb,28.756,0.0002031059562062,0.011,0.0,,0.022,2565.252,66.16,0.07,0.022,0.044,0.082,0.133,0.0,0.139,2.995,2.964,0.686,0.002,0.288
normalized_vfold_r1156_1.pdb,31.038,0.0116544108807947,0.684,0.841,,0.627,45.36,26.58,0.204,0.104,0.156,0.222,0.333,0.0,0.292,3.204,1.361,2.828,0.001,0.753
normalized_vfold_r1156_2.pdb,31.048,0.0118275107971712,0.676,0.872,,0.612,45.923,21.18,0.176,0.082,0.148,0.2,0.274,0.0,0.223,3.205,1.387,3.119,0.003,0.747
normalized_vfoldpipeline_r1156.pdb,33.756,0.2241703155592144,0.636,0.805,,0.576,53.051,23.42,0.154,0.082,0.118,0.185,0.23,0.0,0.205,3.435,1.352,2.771,0.47,0.724
