,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_3drna_r1189_5.pdb,21.015,7.252076716923739e-11,0.623,0.786,,0.561,33.737,43.08,0.225,0.085,0.127,0.271,0.415,0.0,0.272,2.131,1.418,2.074,0.489,0.686,,,
normalized_3drna_r1189_4.pdb,22.234,4.93239177279392e-09,0.644,0.816,,0.569,34.518,41.52,0.212,0.093,0.136,0.271,0.347,0.0,0.258,2.282,1.441,2.346,0.498,0.661,,,
normalized_rhofold_R1189.pdb,22.312,6.362111504287782e-09,0.447,0.354,,0.562,49.945,56.35,0.182,0.068,0.144,0.229,0.288,0.0,0.234,2.38,2.081,1.116,0.37,0.638,,,
normalized_3drna_r1189_3.pdb,22.888,3.940760356924145e-08,0.629,0.786,,0.58,36.379,45.32,0.203,0.076,0.119,0.271,0.347,0.0,0.256,2.322,1.475,2.07,0.49,0.654,,,
normalized_3drna_r1189_2.pdb,23.206,1.0335677241846144e-07,0.627,0.795,,0.566,37.005,45.2,0.184,0.076,0.127,0.237,0.297,0.0,0.211,2.351,1.5,2.125,0.497,0.666,,,
normalized_3drna_r1189_1.pdb,26.463,0.000357803664584,0.584,0.727,,0.522,45.338,47.36,0.193,0.068,0.119,0.271,0.314,0.0,0.222,2.692,1.49,2.141,0.478,0.665,,,
normalized_simrna_r1189.pdb,26.583,0.0004546615331308,0.63,0.77,,0.584,42.175,35.37,0.195,0.085,0.127,0.254,0.314,0.0,0.2,2.765,1.696,2.793,0.043,0.683,,,
normalized_vfold_r1189_2.pdb,28.802,0.0185778227717093,0.659,0.851,,0.594,43.678,39.83,0.197,0.11,0.136,0.237,0.305,0.0,0.201,2.971,1.409,1.98,0.007,0.673,,,
normalized_isrna_r1189.pdb,29.128,0.0285335436001653,0.693,0.851,,0.633,42.039,36.05,0.227,0.093,0.203,0.288,0.322,0.0,0.248,2.987,1.575,2.21,0.394,0.658,,,
normalized_trrosettarna_r1189_4.pdb,29.408,0.0402713711321305,0.446,0.522,,0.464,65.952,44.49,0.155,0.059,0.102,0.195,0.263,0.0,0.183,3.011,1.571,1.055,0.455,0.65,,,
