,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_r1126_2.pdb,26.879,0.0,0.598,0.656,0.0,0.609,44.93,31.66,0.093,0.041,0.072,0.091,0.168,0.0,0.2,2.75,1.674,8.099,0.432,0.733,,,
normalized_trrosettarna_r1126_4.pdb,34.293,0.0,0.545,0.585,0.0,0.573,62.916,36.97,0.083,0.03,0.069,0.105,0.127,0.0,0.191,3.479,1.8,6.658,0.396,0.704,,,
normalized_trrosettarna_r1126_3.pdb,35.722,0.0,0.553,0.604,0.0,0.582,64.605,36.19,0.083,0.036,0.069,0.094,0.132,0.0,0.188,3.615,1.793,6.69,0.413,0.714,,,
normalized_trrosettarna_r1126_5.pdb,35.958,0.0,0.511,0.505,0.0,0.567,70.419,42.77,0.085,0.039,0.072,0.096,0.132,0.0,0.209,3.65,1.9,5.034,0.364,0.694,,,
normalized_trrosettarna_r1126_1.pdb,39.256,0.0,0.629,0.696,0.075,0.63,62.398,32.44,0.092,0.039,0.074,0.11,0.143,0.0,0.177,3.988,1.671,8.334,0.431,0.722,,,
normalized_rnacomposer_r1126.pdb,54.725,0.0083046742545297,0.74,0.886,0.0,0.705,73.976,29.91,0.085,0.036,0.069,0.105,0.132,0.0,0.182,5.495,1.387,10.235,0.498,0.725,,,
normalized_rhofold_R1126.pdb,,,0.339,0.0,0.0,0.467,,,0.04,0.019,0.033,0.05,0.058,0.0,0.144,,,3.665,0.0,0.029,,,
normalized_alphafold3_R1126_5.pdb,43.016,0.0,0.786,0.922,0.265,0.744,54.72,22.61,0.118,0.058,0.085,0.135,0.196,0.0,0.23,4.321,1.183,16.742,0.567,0.802,0.0,100.0,363.0
normalized_alphafold3_R1126_4.pdb,43.956,0.0,0.778,0.919,0.289,0.735,56.502,22.73,0.114,0.05,0.085,0.13,0.19,0.0,0.256,4.415,1.181,16.791,0.566,0.802,0.0,100.0,363.0
normalized_alphafold3_R1126_1.pdb,44.78,1.1657341758564144e-15,0.781,0.922,0.316,0.735,57.342,22.9,0.121,0.066,0.096,0.132,0.19,0.0,0.24,4.497,1.177,16.808,0.555,0.801,0.0,100.0,363.0
normalized_alphafold3_R1126_3.pdb,44.91,2.1094237467877974e-15,0.777,0.915,0.25,0.735,57.77,22.66,0.114,0.052,0.085,0.132,0.187,0.0,0.259,4.509,1.187,16.78,0.566,0.801,0.0,100.0,363.0
normalized_alphafold3_R1126_2.pdb,48.708,4.782628015842505e-09,0.774,0.915,0.226,0.733,62.898,22.77,0.108,0.05,0.077,0.132,0.174,0.0,0.157,4.893,1.184,16.942,0.557,0.803,0.0,100.0,363.0
