,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_rnacomposer_r1136.pdb,40.156,0.0,0.786,0.913,0.0,0.754,51.092,20.57,0.102,0.048,0.094,0.115,0.15,0.0,0.211,4.063,1.29,12.359,0.536,0.747,,,
normalized_trrosettarna_r1136_1.pdb,44.258,0.0,0.718,0.759,0.0,0.727,61.668,21.71,0.116,0.056,0.104,0.12,0.182,0.0,0.227,4.481,1.437,13.407,0.499,0.722,,,
normalized_trrosettarna_r1136_4.pdb,45.959,4.385380947269368e-15,0.668,0.698,0.0,0.682,68.846,27.16,0.112,0.059,0.099,0.118,0.174,0.0,0.23,4.648,1.571,10.41,0.439,0.7,,,
normalized_trrosettarna_r1136_2.pdb,52.009,5.540833954653657e-06,0.71,0.732,0.0,0.733,73.289,23.56,0.113,0.059,0.107,0.123,0.163,0.0,0.226,5.254,1.478,12.958,0.495,0.722,,,
normalized_trrosettarna_r1136_5.pdb,52.73,3.2431252184217385e-05,0.472,0.495,0.077,0.487,111.829,43.9,0.1,0.043,0.088,0.12,0.147,0.0,0.214,5.303,1.964,6.669,0.217,0.612,,,
normalized_trrosettarna_r1136_3.pdb,52.956,5.465582967312255e-05,0.641,0.625,0.0,0.686,82.572,28.45,0.105,0.053,0.094,0.118,0.155,0.0,0.208,5.371,1.647,8.825,0.442,0.698,,,
normalized_alphafold3_R1136_1.pdb,33.32,0.0,0.854,0.924,0.171,0.848,39.016,14.15,0.181,0.056,0.11,0.201,0.358,0.0,0.323,3.389,1.044,22.892,0.61,0.829,0.0,100.0,374.0
normalized_alphafold3_R1136_4.pdb,35.676,0.0,0.851,0.921,0.183,0.844,41.929,14.15,0.182,0.059,0.128,0.187,0.356,0.0,0.306,3.623,1.031,22.831,0.639,0.827,0.0,100.0,374.0
normalized_alphafold3_R1136_5.pdb,37.639,0.0,0.85,0.927,0.171,0.841,44.281,14.13,0.186,0.053,0.126,0.195,0.372,0.0,0.322,3.819,1.035,23.033,0.605,0.831,0.0,100.0,374.0
normalized_alphafold3_R1136_3.pdb,38.747,0.0,0.862,0.942,0.146,0.855,44.967,13.85,0.167,0.051,0.118,0.174,0.326,0.0,0.388,3.922,1.004,23.65,0.634,0.84,0.0,100.0,374.0
normalized_alphafold3_R1136_2.pdb,40.511,0.0,0.854,0.927,0.171,0.847,47.452,13.97,0.18,0.051,0.128,0.187,0.356,0.0,0.342,4.105,1.038,22.985,0.622,0.832,0.0,100.0,374.0
