,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_r1128_1.pdb,12.603,0.0,0.699,0.82,0.0,0.685,18.022,28.21,0.243,0.08,0.172,0.248,0.471,0.0,0.405,1.315,1.163,11.033,0.702,0.869,,,
normalized_trrosettarna_r1128_3.pdb,19.836,0.0,0.706,0.792,0.0,0.699,28.099,25.18,0.204,0.084,0.139,0.227,0.365,0.0,0.362,2.078,1.215,10.106,0.689,0.866,,,
normalized_rhofold_R1128.pdb,20.424,0.0,0.519,0.068,0.0,0.708,39.352,61.67,0.142,0.034,0.088,0.155,0.29,0.0,0.306,2.091,1.774,4.399,0.0,0.747,,,
normalized_trrosettarna_r1128_4.pdb,23.657,0.0,0.631,0.656,0.0,0.687,37.516,32.8,0.167,0.088,0.122,0.168,0.29,0.0,0.251,2.477,1.457,7.956,0.635,0.846,,,
normalized_trrosettarna_r1128_2.pdb,23.936,0.0,0.656,0.73,0.0,0.679,36.508,31.29,0.239,0.109,0.198,0.244,0.408,0.0,0.376,2.461,1.291,9.051,0.678,0.86,,,
normalized_trrosettarna_r1128_5.pdb,24.139,0.0,0.656,0.755,0.0,0.665,36.825,30.0,0.189,0.08,0.143,0.198,0.336,0.0,0.329,2.495,1.368,8.45,0.668,0.846,,,
normalized_rnacomposer_r1128.pdb,38.381,1.360505376690746e-07,0.83,0.937,0.183,0.79,46.24,17.78,0.148,0.08,0.13,0.172,0.21,0.0,0.231,3.911,0.972,10.672,0.682,0.848,,,
normalized_simrna_r1128.pdb,45.927,0.1711566755158999,0.791,0.886,0.0,0.753,58.028,18.84,0.148,0.067,0.139,0.168,0.218,0.0,0.202,4.631,1.188,12.341,0.02,0.837,,,
normalized_alphafold3_R1128_3.pdb,22.803,0.0,0.882,0.995,0.8,0.827,25.862,11.36,0.171,0.118,0.147,0.172,0.248,0.0,0.23,2.381,0.627,19.118,0.735,0.906,0.0,100.0,238.0
normalized_alphafold3_R1128_4.pdb,22.892,0.0,0.88,0.995,0.671,0.827,26.018,11.32,0.169,0.113,0.147,0.172,0.244,0.0,0.229,2.39,0.622,19.128,0.741,0.905,0.0,100.0,238.0
normalized_alphafold3_R1128_5.pdb,22.907,0.0,0.877,0.995,0.671,0.822,26.129,11.16,0.174,0.118,0.155,0.172,0.252,0.0,0.231,2.392,0.624,19.226,0.733,0.905,0.0,100.0,238.0
normalized_alphafold3_R1128_1.pdb,22.932,0.0,0.886,0.995,0.913,0.832,25.881,11.39,0.17,0.113,0.147,0.168,0.252,0.0,0.231,2.394,0.619,19.183,0.735,0.907,0.0,100.0,238.0
normalized_alphafold3_R1128_2.pdb,22.969,0.0,0.878,0.995,0.632,0.826,26.16,11.29,0.17,0.118,0.151,0.172,0.239,0.0,0.225,2.398,0.623,19.084,0.74,0.906,0.0,100.0,238.0
